"wd_m","yhat","predictors","model","index"
0.08,0.20971242604305,"wd_m","all predictors w/o coordinates","rel_abundance"
0.099,0.209723631112129,"wd_m","all predictors w/o coordinates","rel_abundance"
0.118,0.206316764009753,"wd_m","all predictors w/o coordinates","rel_abundance"
0.137,0.206524946490768,"wd_m","all predictors w/o coordinates","rel_abundance"
0.156,0.204199810321217,"wd_m","all predictors w/o coordinates","rel_abundance"
0.175,0.203514368273077,"wd_m","all predictors w/o coordinates","rel_abundance"
0.194,0.203095027468194,"wd_m","all predictors w/o coordinates","rel_abundance"
0.213,0.202427759946446,"wd_m","all predictors w/o coordinates","rel_abundance"
0.232,0.201914846033169,"wd_m","all predictors w/o coordinates","rel_abundance"
0.251,0.202743886344909,"wd_m","all predictors w/o coordinates","rel_abundance"
0.27,0.19677006145455,"wd_m","all predictors w/o coordinates","rel_abundance"
0.289,0.195614697357633,"wd_m","all predictors w/o coordinates","rel_abundance"
0.308,0.195385733243086,"wd_m","all predictors w/o coordinates","rel_abundance"
0.327,0.193877798957128,"wd_m","all predictors w/o coordinates","rel_abundance"
0.346,0.193451061419748,"wd_m","all predictors w/o coordinates","rel_abundance"
0.365,0.193180614366884,"wd_m","all predictors w/o coordinates","rel_abundance"
0.384,0.192869928239741,"wd_m","all predictors w/o coordinates","rel_abundance"
0.403,0.191292502754823,"wd_m","all predictors w/o coordinates","rel_abundance"
0.422,0.190048764585056,"wd_m","all predictors w/o coordinates","rel_abundance"
0.441,0.189124664539618,"wd_m","all predictors w/o coordinates","rel_abundance"
0.46,0.189087735517535,"wd_m","all predictors w/o coordinates","rel_abundance"
0.479,0.189053707500216,"wd_m","all predictors w/o coordinates","rel_abundance"
0.498,0.189165911692404,"wd_m","all predictors w/o coordinates","rel_abundance"
0.517,0.188110512255212,"wd_m","all predictors w/o coordinates","rel_abundance"
0.536,0.187936853832163,"wd_m","all predictors w/o coordinates","rel_abundance"
0.555,0.187738493323376,"wd_m","all predictors w/o coordinates","rel_abundance"
0.574,0.187120779924255,"wd_m","all predictors w/o coordinates","rel_abundance"
0.593,0.186431451522199,"wd_m","all predictors w/o coordinates","rel_abundance"
0.612,0.185805610692072,"wd_m","all predictors w/o coordinates","rel_abundance"
0.631,0.185711988823421,"wd_m","all predictors w/o coordinates","rel_abundance"
0.65,0.185700247335041,"wd_m","all predictors w/o coordinates","rel_abundance"
0.669,0.185461278828596,"wd_m","all predictors w/o coordinates","rel_abundance"
0.688,0.185406782809251,"wd_m","all predictors w/o coordinates","rel_abundance"
0.707,0.185289292009034,"wd_m","all predictors w/o coordinates","rel_abundance"
0.726,0.185289292009034,"wd_m","all predictors w/o coordinates","rel_abundance"
0.745,0.185259290715425,"wd_m","all predictors w/o coordinates","rel_abundance"
0.764,0.185259290715425,"wd_m","all predictors w/o coordinates","rel_abundance"
0.783,0.185259290715425,"wd_m","all predictors w/o coordinates","rel_abundance"
0.802,0.185259290715425,"wd_m","all predictors w/o coordinates","rel_abundance"
0.821,0.185215410730406,"wd_m","all predictors w/o coordinates","rel_abundance"
0.84,0.185215410730406,"wd_m","all predictors w/o coordinates","rel_abundance"
0.859,0.185215410730406,"wd_m","all predictors w/o coordinates","rel_abundance"
0.878,0.185215410730406,"wd_m","all predictors w/o coordinates","rel_abundance"
0.897,0.185215410730406,"wd_m","all predictors w/o coordinates","rel_abundance"
0.916,0.185215410730406,"wd_m","all predictors w/o coordinates","rel_abundance"
0.935,0.185215410730406,"wd_m","all predictors w/o coordinates","rel_abundance"
0.954,0.185215410730406,"wd_m","all predictors w/o coordinates","rel_abundance"
0.973,0.185215410730406,"wd_m","all predictors w/o coordinates","rel_abundance"
0.992,0.185215410730406,"wd_m","all predictors w/o coordinates","rel_abundance"
1.011,0.185215410730406,"wd_m","all predictors w/o coordinates","rel_abundance"
1.03,0.185215410730406,"wd_m","all predictors w/o coordinates","rel_abundance"
