"wd_m","yhat","predictors","model","index"
0.08,0.208658703032733,"wd_m","all predictors w/ coordinates","rel_abundance"
0.099,0.208540336176616,"wd_m","all predictors w/ coordinates","rel_abundance"
0.118,0.206149049099959,"wd_m","all predictors w/ coordinates","rel_abundance"
0.137,0.205476626330828,"wd_m","all predictors w/ coordinates","rel_abundance"
0.156,0.204271736919141,"wd_m","all predictors w/ coordinates","rel_abundance"
0.175,0.20355503319928,"wd_m","all predictors w/ coordinates","rel_abundance"
0.194,0.203309843777488,"wd_m","all predictors w/ coordinates","rel_abundance"
0.213,0.202831483672891,"wd_m","all predictors w/ coordinates","rel_abundance"
0.232,0.202507482808663,"wd_m","all predictors w/ coordinates","rel_abundance"
0.251,0.203093695817005,"wd_m","all predictors w/ coordinates","rel_abundance"
0.27,0.196891207780623,"wd_m","all predictors w/ coordinates","rel_abundance"
0.289,0.196209462693928,"wd_m","all predictors w/ coordinates","rel_abundance"
0.308,0.195983883763503,"wd_m","all predictors w/ coordinates","rel_abundance"
0.327,0.195322917123411,"wd_m","all predictors w/ coordinates","rel_abundance"
0.346,0.194735979328507,"wd_m","all predictors w/ coordinates","rel_abundance"
0.365,0.194340653450419,"wd_m","all predictors w/ coordinates","rel_abundance"
0.384,0.194138389857156,"wd_m","all predictors w/ coordinates","rel_abundance"
0.403,0.1932716959248,"wd_m","all predictors w/ coordinates","rel_abundance"
0.422,0.189779163157122,"wd_m","all predictors w/ coordinates","rel_abundance"
0.441,0.188656819459228,"wd_m","all predictors w/ coordinates","rel_abundance"
0.46,0.188611806604254,"wd_m","all predictors w/ coordinates","rel_abundance"
0.479,0.188523774573988,"wd_m","all predictors w/ coordinates","rel_abundance"
0.498,0.188602689527546,"wd_m","all predictors w/ coordinates","rel_abundance"
0.517,0.187876613209674,"wd_m","all predictors w/ coordinates","rel_abundance"
0.536,0.187740836324605,"wd_m","all predictors w/ coordinates","rel_abundance"
0.555,0.187105355815404,"wd_m","all predictors w/ coordinates","rel_abundance"
0.574,0.186868012331373,"wd_m","all predictors w/ coordinates","rel_abundance"
0.593,0.186181818764367,"wd_m","all predictors w/ coordinates","rel_abundance"
0.612,0.184828161178063,"wd_m","all predictors w/ coordinates","rel_abundance"
0.631,0.184750856767323,"wd_m","all predictors w/ coordinates","rel_abundance"
0.65,0.184598854640098,"wd_m","all predictors w/ coordinates","rel_abundance"
0.669,0.184430158469605,"wd_m","all predictors w/ coordinates","rel_abundance"
0.688,0.184437093406689,"wd_m","all predictors w/ coordinates","rel_abundance"
0.707,0.184313934399043,"wd_m","all predictors w/ coordinates","rel_abundance"
0.726,0.184293955884915,"wd_m","all predictors w/ coordinates","rel_abundance"
0.745,0.184260355161695,"wd_m","all predictors w/ coordinates","rel_abundance"
0.764,0.184230691930797,"wd_m","all predictors w/ coordinates","rel_abundance"
0.783,0.184230691930797,"wd_m","all predictors w/ coordinates","rel_abundance"
0.802,0.184191810850674,"wd_m","all predictors w/ coordinates","rel_abundance"
0.821,0.184124091579833,"wd_m","all predictors w/ coordinates","rel_abundance"
0.84,0.184124091579833,"wd_m","all predictors w/ coordinates","rel_abundance"
0.859,0.184124091579833,"wd_m","all predictors w/ coordinates","rel_abundance"
0.878,0.18412665071315,"wd_m","all predictors w/ coordinates","rel_abundance"
0.897,0.18412665071315,"wd_m","all predictors w/ coordinates","rel_abundance"
0.916,0.18412665071315,"wd_m","all predictors w/ coordinates","rel_abundance"
0.935,0.18412665071315,"wd_m","all predictors w/ coordinates","rel_abundance"
0.954,0.18412665071315,"wd_m","all predictors w/ coordinates","rel_abundance"
0.973,0.18412665071315,"wd_m","all predictors w/ coordinates","rel_abundance"
0.992,0.18412665071315,"wd_m","all predictors w/ coordinates","rel_abundance"
1.011,0.18412665071315,"wd_m","all predictors w/ coordinates","rel_abundance"
1.03,0.18412665071315,"wd_m","all predictors w/ coordinates","rel_abundance"
