"wd_m","yhat","predictors","model","index"
0.08,2.41633137912248,"wd_m","sampling w/o coordinates","shannon_index"
0.099,2.43272643962323,"wd_m","sampling w/o coordinates","shannon_index"
0.118,2.51055025949177,"wd_m","sampling w/o coordinates","shannon_index"
0.137,2.51320599521407,"wd_m","sampling w/o coordinates","shannon_index"
0.156,2.54667521852793,"wd_m","sampling w/o coordinates","shannon_index"
0.175,2.55991275241939,"wd_m","sampling w/o coordinates","shannon_index"
0.194,2.55562970172334,"wd_m","sampling w/o coordinates","shannon_index"
0.213,2.54628983049339,"wd_m","sampling w/o coordinates","shannon_index"
0.232,2.54863030156034,"wd_m","sampling w/o coordinates","shannon_index"
0.251,2.53235922597728,"wd_m","sampling w/o coordinates","shannon_index"
0.27,2.54339553305396,"wd_m","sampling w/o coordinates","shannon_index"
0.289,2.52201981676949,"wd_m","sampling w/o coordinates","shannon_index"
0.308,2.50896979150949,"wd_m","sampling w/o coordinates","shannon_index"
0.327,2.5100196486132,"wd_m","sampling w/o coordinates","shannon_index"
0.346,2.5350770842008,"wd_m","sampling w/o coordinates","shannon_index"
0.365,2.51582305678339,"wd_m","sampling w/o coordinates","shannon_index"
0.384,2.53790340037193,"wd_m","sampling w/o coordinates","shannon_index"
0.403,2.55587327594252,"wd_m","sampling w/o coordinates","shannon_index"
0.422,2.55074715223977,"wd_m","sampling w/o coordinates","shannon_index"
0.441,2.52596462809554,"wd_m","sampling w/o coordinates","shannon_index"
0.46,2.51891531486655,"wd_m","sampling w/o coordinates","shannon_index"
0.479,2.51053594121778,"wd_m","sampling w/o coordinates","shannon_index"
0.498,2.51280914371212,"wd_m","sampling w/o coordinates","shannon_index"
0.517,2.51633194985765,"wd_m","sampling w/o coordinates","shannon_index"
0.536,2.51590820029378,"wd_m","sampling w/o coordinates","shannon_index"
0.555,2.46524438496541,"wd_m","sampling w/o coordinates","shannon_index"
0.574,2.48237668377934,"wd_m","sampling w/o coordinates","shannon_index"
0.593,2.47300031531982,"wd_m","sampling w/o coordinates","shannon_index"
0.612,2.48205216849844,"wd_m","sampling w/o coordinates","shannon_index"
0.631,2.49858272862103,"wd_m","sampling w/o coordinates","shannon_index"
0.65,2.49858272862103,"wd_m","sampling w/o coordinates","shannon_index"
0.669,2.50078415553327,"wd_m","sampling w/o coordinates","shannon_index"
0.688,2.55655077706884,"wd_m","sampling w/o coordinates","shannon_index"
0.707,2.55655077706884,"wd_m","sampling w/o coordinates","shannon_index"
0.726,2.5618254514756,"wd_m","sampling w/o coordinates","shannon_index"
0.745,2.55762287367273,"wd_m","sampling w/o coordinates","shannon_index"
0.764,2.55762287367273,"wd_m","sampling w/o coordinates","shannon_index"
0.783,2.53372771734441,"wd_m","sampling w/o coordinates","shannon_index"
0.802,2.53372771734441,"wd_m","sampling w/o coordinates","shannon_index"
0.821,2.53379656953944,"wd_m","sampling w/o coordinates","shannon_index"
0.84,2.53368808908595,"wd_m","sampling w/o coordinates","shannon_index"
0.859,2.53368808908595,"wd_m","sampling w/o coordinates","shannon_index"
0.878,2.53353962826508,"wd_m","sampling w/o coordinates","shannon_index"
0.897,2.44447143569037,"wd_m","sampling w/o coordinates","shannon_index"
0.916,2.44447143569037,"wd_m","sampling w/o coordinates","shannon_index"
0.935,2.44731333548272,"wd_m","sampling w/o coordinates","shannon_index"
0.954,2.44731333548272,"wd_m","sampling w/o coordinates","shannon_index"
0.973,2.44731333548272,"wd_m","sampling w/o coordinates","shannon_index"
0.992,3.01224139167203,"wd_m","sampling w/o coordinates","shannon_index"
1.011,3.01224139167203,"wd_m","sampling w/o coordinates","shannon_index"
1.03,3.01224139167203,"wd_m","sampling w/o coordinates","shannon_index"
