"wd_m","yhat","predictors","model","index"
0.08,2.49865417918722,"wd_m","all predictors w/o coordinates","shannon_index"
0.099,2.49737949543788,"wd_m","all predictors w/o coordinates","shannon_index"
0.118,2.50394200862456,"wd_m","all predictors w/o coordinates","shannon_index"
0.137,2.51797355333769,"wd_m","all predictors w/o coordinates","shannon_index"
0.156,2.52164390816087,"wd_m","all predictors w/o coordinates","shannon_index"
0.175,2.52209491020521,"wd_m","all predictors w/o coordinates","shannon_index"
0.194,2.52030392096994,"wd_m","all predictors w/o coordinates","shannon_index"
0.213,2.51846660173801,"wd_m","all predictors w/o coordinates","shannon_index"
0.232,2.5150787140921,"wd_m","all predictors w/o coordinates","shannon_index"
0.251,2.51676542433703,"wd_m","all predictors w/o coordinates","shannon_index"
0.27,2.51711191026912,"wd_m","all predictors w/o coordinates","shannon_index"
0.289,2.51544206265848,"wd_m","all predictors w/o coordinates","shannon_index"
0.308,2.51566566492505,"wd_m","all predictors w/o coordinates","shannon_index"
0.327,2.51365278887599,"wd_m","all predictors w/o coordinates","shannon_index"
0.346,2.51501598355184,"wd_m","all predictors w/o coordinates","shannon_index"
0.365,2.51433561331878,"wd_m","all predictors w/o coordinates","shannon_index"
0.384,2.51383895042435,"wd_m","all predictors w/o coordinates","shannon_index"
0.403,2.51443011900052,"wd_m","all predictors w/o coordinates","shannon_index"
0.422,2.51447258821309,"wd_m","all predictors w/o coordinates","shannon_index"
0.441,2.51370932156516,"wd_m","all predictors w/o coordinates","shannon_index"
0.46,2.5046920147467,"wd_m","all predictors w/o coordinates","shannon_index"
0.479,2.50303398500894,"wd_m","all predictors w/o coordinates","shannon_index"
0.498,2.5045250581162,"wd_m","all predictors w/o coordinates","shannon_index"
0.517,2.50007719740463,"wd_m","all predictors w/o coordinates","shannon_index"
0.536,2.49642487489021,"wd_m","all predictors w/o coordinates","shannon_index"
0.555,2.49344966038886,"wd_m","all predictors w/o coordinates","shannon_index"
0.574,2.49228196530991,"wd_m","all predictors w/o coordinates","shannon_index"
0.593,2.49264575629204,"wd_m","all predictors w/o coordinates","shannon_index"
0.612,2.49707824446608,"wd_m","all predictors w/o coordinates","shannon_index"
0.631,2.50063267945657,"wd_m","all predictors w/o coordinates","shannon_index"
0.65,2.50053588347294,"wd_m","all predictors w/o coordinates","shannon_index"
0.669,2.50125089204313,"wd_m","all predictors w/o coordinates","shannon_index"
0.688,2.50277405326349,"wd_m","all predictors w/o coordinates","shannon_index"
0.707,2.50345087289636,"wd_m","all predictors w/o coordinates","shannon_index"
0.726,2.50326853872373,"wd_m","all predictors w/o coordinates","shannon_index"
0.745,2.50074531920495,"wd_m","all predictors w/o coordinates","shannon_index"
0.764,2.50012539904656,"wd_m","all predictors w/o coordinates","shannon_index"
0.783,2.49959921329783,"wd_m","all predictors w/o coordinates","shannon_index"
0.802,2.49858230575821,"wd_m","all predictors w/o coordinates","shannon_index"
0.821,2.49682325448898,"wd_m","all predictors w/o coordinates","shannon_index"
0.84,2.49458729403901,"wd_m","all predictors w/o coordinates","shannon_index"
0.859,2.49430601528237,"wd_m","all predictors w/o coordinates","shannon_index"
0.878,2.49349106989801,"wd_m","all predictors w/o coordinates","shannon_index"
0.897,2.49349106989801,"wd_m","all predictors w/o coordinates","shannon_index"
0.916,2.49280128678861,"wd_m","all predictors w/o coordinates","shannon_index"
0.935,2.49280128678861,"wd_m","all predictors w/o coordinates","shannon_index"
0.954,2.49280128678861,"wd_m","all predictors w/o coordinates","shannon_index"
0.973,2.49307281220458,"wd_m","all predictors w/o coordinates","shannon_index"
0.992,2.49316533134525,"wd_m","all predictors w/o coordinates","shannon_index"
1.011,2.49316533134525,"wd_m","all predictors w/o coordinates","shannon_index"
1.03,2.49316533134525,"wd_m","all predictors w/o coordinates","shannon_index"
