"x","yhat","predictors","model","index"
2575575.53,737.099191188812,"x","sampling w/ coordinates","abundance"
2579649.17396,1102.99137620573,"x","sampling w/ coordinates","abundance"
2583722.81792,1030.03858576881,"x","sampling w/ coordinates","abundance"
2587796.46188,955.834305965238,"x","sampling w/ coordinates","abundance"
2591870.10584,955.834305965238,"x","sampling w/ coordinates","abundance"
2595943.7498,955.834305965238,"x","sampling w/ coordinates","abundance"
2600017.39376,955.834305965238,"x","sampling w/ coordinates","abundance"
2604091.03772,955.834305965238,"x","sampling w/ coordinates","abundance"
2608164.68168,955.834305965238,"x","sampling w/ coordinates","abundance"
2612238.32564,955.834305965238,"x","sampling w/ coordinates","abundance"
2616311.9696,955.834305965238,"x","sampling w/ coordinates","abundance"
2620385.61356,955.834305965238,"x","sampling w/ coordinates","abundance"
2624459.25752,955.834305965238,"x","sampling w/ coordinates","abundance"
2628532.90148,955.834305965238,"x","sampling w/ coordinates","abundance"
2632606.54544,955.834305965238,"x","sampling w/ coordinates","abundance"
2636680.1894,955.834305965238,"x","sampling w/ coordinates","abundance"
2640753.83336,955.834305965238,"x","sampling w/ coordinates","abundance"
2644827.47732,955.834305965238,"x","sampling w/ coordinates","abundance"
2648901.12128,955.834305965238,"x","sampling w/ coordinates","abundance"
2652974.76524,955.082429846128,"x","sampling w/ coordinates","abundance"
2657048.4092,932.2015996763,"x","sampling w/ coordinates","abundance"
2661122.05316,930.757168300726,"x","sampling w/ coordinates","abundance"
2665195.69712,924.768954849905,"x","sampling w/ coordinates","abundance"
2669269.34108,924.768954849905,"x","sampling w/ coordinates","abundance"
2673342.98504,924.768954849905,"x","sampling w/ coordinates","abundance"
2677416.629,924.74171932428,"x","sampling w/ coordinates","abundance"
2681490.27296,924.74171932428,"x","sampling w/ coordinates","abundance"
2685563.91692,924.74171932428,"x","sampling w/ coordinates","abundance"
2689637.56088,924.74171932428,"x","sampling w/ coordinates","abundance"
2693711.20484,924.74171932428,"x","sampling w/ coordinates","abundance"
2697784.8488,924.74171932428,"x","sampling w/ coordinates","abundance"
2701858.49276,924.74171932428,"x","sampling w/ coordinates","abundance"
2705932.13672,924.74171932428,"x","sampling w/ coordinates","abundance"
2710005.78068,924.74171932428,"x","sampling w/ coordinates","abundance"
2714079.42464,924.74171932428,"x","sampling w/ coordinates","abundance"
2718153.0686,924.74171932428,"x","sampling w/ coordinates","abundance"
2722226.71256,924.74171932428,"x","sampling w/ coordinates","abundance"
2726300.35652,739.498883724213,"x","sampling w/ coordinates","abundance"
2730374.00048,757.95069232583,"x","sampling w/ coordinates","abundance"
2734447.64444,759.741542639556,"x","sampling w/ coordinates","abundance"
2738521.2884,713.355956024594,"x","sampling w/ coordinates","abundance"
2742594.93236,713.315335821222,"x","sampling w/ coordinates","abundance"
2746668.57632,722.97681594778,"x","sampling w/ coordinates","abundance"
2750742.22028,722.986975563897,"x","sampling w/ coordinates","abundance"
2754815.86424,724.060585869683,"x","sampling w/ coordinates","abundance"
2758889.5082,707.388719779474,"x","sampling w/ coordinates","abundance"
2762963.15216,719.068602623763,"x","sampling w/ coordinates","abundance"
2767036.79612,719.068602623763,"x","sampling w/ coordinates","abundance"
2771110.44008,726.470816047103,"x","sampling w/ coordinates","abundance"
2775184.08404,748.06241106104,"x","sampling w/ coordinates","abundance"
2779257.728,721.268418307658,"x","sampling w/ coordinates","abundance"
