"x","yhat","predictors","model","index"
2575575.53,1073.31986490667,"x","velocity w/ coordinates","abundance"
2579649.17396,1199.81513747428,"x","velocity w/ coordinates","abundance"
2583722.81792,1045.43736213257,"x","velocity w/ coordinates","abundance"
2587796.46188,891.777284865521,"x","velocity w/ coordinates","abundance"
2591870.10584,891.777284865521,"x","velocity w/ coordinates","abundance"
2595943.7498,891.777284865521,"x","velocity w/ coordinates","abundance"
2600017.39376,891.777284865521,"x","velocity w/ coordinates","abundance"
2604091.03772,891.777284865521,"x","velocity w/ coordinates","abundance"
2608164.68168,891.777284865521,"x","velocity w/ coordinates","abundance"
2612238.32564,891.777284865521,"x","velocity w/ coordinates","abundance"
2616311.9696,891.777284865521,"x","velocity w/ coordinates","abundance"
2620385.61356,891.777284865521,"x","velocity w/ coordinates","abundance"
2624459.25752,891.777284865521,"x","velocity w/ coordinates","abundance"
2628532.90148,891.777284865521,"x","velocity w/ coordinates","abundance"
2632606.54544,891.777284865521,"x","velocity w/ coordinates","abundance"
2636680.1894,891.777284865521,"x","velocity w/ coordinates","abundance"
2640753.83336,891.777284865521,"x","velocity w/ coordinates","abundance"
2644827.47732,891.777284865521,"x","velocity w/ coordinates","abundance"
2648901.12128,891.777284865521,"x","velocity w/ coordinates","abundance"
2652974.76524,839.141592644033,"x","velocity w/ coordinates","abundance"
2657048.4092,775.529413451646,"x","velocity w/ coordinates","abundance"
2661122.05316,771.437001377866,"x","velocity w/ coordinates","abundance"
2665195.69712,769.166539513522,"x","velocity w/ coordinates","abundance"
2669269.34108,768.387336640212,"x","velocity w/ coordinates","abundance"
2673342.98504,768.387336640212,"x","velocity w/ coordinates","abundance"
2677416.629,768.052888723545,"x","velocity w/ coordinates","abundance"
2681490.27296,768.052888723545,"x","velocity w/ coordinates","abundance"
2685563.91692,768.052888723545,"x","velocity w/ coordinates","abundance"
2689637.56088,768.052888723545,"x","velocity w/ coordinates","abundance"
2693711.20484,768.052888723545,"x","velocity w/ coordinates","abundance"
2697784.8488,768.052888723545,"x","velocity w/ coordinates","abundance"
2701858.49276,768.052888723545,"x","velocity w/ coordinates","abundance"
2705932.13672,768.052888723545,"x","velocity w/ coordinates","abundance"
2710005.78068,768.052888723545,"x","velocity w/ coordinates","abundance"
2714079.42464,768.052888723545,"x","velocity w/ coordinates","abundance"
2718153.0686,768.052888723545,"x","velocity w/ coordinates","abundance"
2722226.71256,768.052888723545,"x","velocity w/ coordinates","abundance"
2726300.35652,728.343916317607,"x","velocity w/ coordinates","abundance"
2730374.00048,744.499715575397,"x","velocity w/ coordinates","abundance"
2734447.64444,779.018768103322,"x","velocity w/ coordinates","abundance"
2738521.2884,875.196494003528,"x","velocity w/ coordinates","abundance"
2742594.93236,783.798961467519,"x","velocity w/ coordinates","abundance"
2746668.57632,669.274732117137,"x","velocity w/ coordinates","abundance"
2750742.22028,668.355884850823,"x","velocity w/ coordinates","abundance"
2754815.86424,666.910139296737,"x","velocity w/ coordinates","abundance"
2758889.5082,651.499317148001,"x","velocity w/ coordinates","abundance"
2762963.15216,656.044635372575,"x","velocity w/ coordinates","abundance"
2767036.79612,656.044635372575,"x","velocity w/ coordinates","abundance"
2771110.44008,687.071362896825,"x","velocity w/ coordinates","abundance"
2775184.08404,739.342333366402,"x","velocity w/ coordinates","abundance"
2779257.728,787.155150308642,"x","velocity w/ coordinates","abundance"
