"x","yhat","predictors","model","index"
2575575.53,1180.93330957892,"x","velocity w/ coordinates","abundance"
2579649.17396,1236.08073662919,"x","velocity w/ coordinates","abundance"
2583722.81792,1051.64132307099,"x","velocity w/ coordinates","abundance"
2587796.46188,873.669212014991,"x","velocity w/ coordinates","abundance"
2591870.10584,873.669212014991,"x","velocity w/ coordinates","abundance"
2595943.7498,873.669212014991,"x","velocity w/ coordinates","abundance"
2600017.39376,873.669212014991,"x","velocity w/ coordinates","abundance"
2604091.03772,873.669212014991,"x","velocity w/ coordinates","abundance"
2608164.68168,873.669212014991,"x","velocity w/ coordinates","abundance"
2612238.32564,873.669212014991,"x","velocity w/ coordinates","abundance"
2616311.9696,873.669212014991,"x","velocity w/ coordinates","abundance"
2620385.61356,873.669212014991,"x","velocity w/ coordinates","abundance"
2624459.25752,873.669212014991,"x","velocity w/ coordinates","abundance"
2628532.90148,873.669212014991,"x","velocity w/ coordinates","abundance"
2632606.54544,873.669212014991,"x","velocity w/ coordinates","abundance"
2636680.1894,873.669212014991,"x","velocity w/ coordinates","abundance"
2640753.83336,873.669212014991,"x","velocity w/ coordinates","abundance"
2644827.47732,873.669212014991,"x","velocity w/ coordinates","abundance"
2648901.12128,873.669212014991,"x","velocity w/ coordinates","abundance"
2652974.76524,839.362700242504,"x","velocity w/ coordinates","abundance"
2657048.4092,735.090554817019,"x","velocity w/ coordinates","abundance"
2661122.05316,734.063443705908,"x","velocity w/ coordinates","abundance"
2665195.69712,733.504326421958,"x","velocity w/ coordinates","abundance"
2669269.34108,732.97501667769,"x","velocity w/ coordinates","abundance"
2673342.98504,732.97501667769,"x","velocity w/ coordinates","abundance"
2677416.629,732.97501667769,"x","velocity w/ coordinates","abundance"
2681490.27296,732.97501667769,"x","velocity w/ coordinates","abundance"
2685563.91692,732.97501667769,"x","velocity w/ coordinates","abundance"
2689637.56088,732.97501667769,"x","velocity w/ coordinates","abundance"
2693711.20484,732.97501667769,"x","velocity w/ coordinates","abundance"
2697784.8488,732.97501667769,"x","velocity w/ coordinates","abundance"
2701858.49276,732.97501667769,"x","velocity w/ coordinates","abundance"
2705932.13672,732.97501667769,"x","velocity w/ coordinates","abundance"
2710005.78068,732.97501667769,"x","velocity w/ coordinates","abundance"
2714079.42464,732.97501667769,"x","velocity w/ coordinates","abundance"
2718153.0686,732.97501667769,"x","velocity w/ coordinates","abundance"
2722226.71256,732.97501667769,"x","velocity w/ coordinates","abundance"
2726300.35652,690.987425496032,"x","velocity w/ coordinates","abundance"
2730374.00048,721.997954673721,"x","velocity w/ coordinates","abundance"
2734447.64444,746.686729861111,"x","velocity w/ coordinates","abundance"
2738521.2884,801.269855180776,"x","velocity w/ coordinates","abundance"
2742594.93236,749.564407396385,"x","velocity w/ coordinates","abundance"
2746668.57632,685.233689241623,"x","velocity w/ coordinates","abundance"
2750742.22028,685.233689241623,"x","velocity w/ coordinates","abundance"
2754815.86424,684.259844334215,"x","velocity w/ coordinates","abundance"
2758889.5082,676.634038062169,"x","velocity w/ coordinates","abundance"
2762963.15216,677.20694348545,"x","velocity w/ coordinates","abundance"
2767036.79612,677.20694348545,"x","velocity w/ coordinates","abundance"
2771110.44008,703.528415310847,"x","velocity w/ coordinates","abundance"
2775184.08404,744.991671340388,"x","velocity w/ coordinates","abundance"
2779257.728,819.196995888448,"x","velocity w/ coordinates","abundance"
