"x","yhat","predictors","model","index"
2575575.53,0.592866013861365,"x","velocity w/ coordinates","shannon index"
2579649.17396,0.580943288626494,"x","velocity w/ coordinates","shannon index"
2583722.81792,0.573242134242146,"x","velocity w/ coordinates","shannon index"
2587796.46188,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2591870.10584,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2595943.7498,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2600017.39376,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2604091.03772,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2608164.68168,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2612238.32564,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2616311.9696,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2620385.61356,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2624459.25752,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2628532.90148,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2632606.54544,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2636680.1894,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2640753.83336,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2644827.47732,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2648901.12128,0.491320028349205,"x","velocity w/ coordinates","shannon index"
2652974.76524,0.491474754832409,"x","velocity w/ coordinates","shannon index"
2657048.4092,0.491780441530325,"x","velocity w/ coordinates","shannon index"
2661122.05316,0.492289465472654,"x","velocity w/ coordinates","shannon index"
2665195.69712,0.49242544050018,"x","velocity w/ coordinates","shannon index"
2669269.34108,0.49242544050018,"x","velocity w/ coordinates","shannon index"
2673342.98504,0.49242544050018,"x","velocity w/ coordinates","shannon index"
2677416.629,0.49242544050018,"x","velocity w/ coordinates","shannon index"
2681490.27296,0.49242544050018,"x","velocity w/ coordinates","shannon index"
2685563.91692,0.49242544050018,"x","velocity w/ coordinates","shannon index"
2689637.56088,0.49242544050018,"x","velocity w/ coordinates","shannon index"
2693711.20484,0.49242544050018,"x","velocity w/ coordinates","shannon index"
2697784.8488,0.49242544050018,"x","velocity w/ coordinates","shannon index"
2701858.49276,0.49242544050018,"x","velocity w/ coordinates","shannon index"
2705932.13672,0.49242544050018,"x","velocity w/ coordinates","shannon index"
2710005.78068,0.49242544050018,"x","velocity w/ coordinates","shannon index"
2714079.42464,0.49242544050018,"x","velocity w/ coordinates","shannon index"
2718153.0686,0.49242544050018,"x","velocity w/ coordinates","shannon index"
2722226.71256,0.49242544050018,"x","velocity w/ coordinates","shannon index"
2726300.35652,0.481402453862958,"x","velocity w/ coordinates","shannon index"
2730374.00048,0.512442531409087,"x","velocity w/ coordinates","shannon index"
2734447.64444,0.542232525293474,"x","velocity w/ coordinates","shannon index"
2738521.2884,0.591493040737179,"x","velocity w/ coordinates","shannon index"
2742594.93236,0.592661454169839,"x","velocity w/ coordinates","shannon index"
2746668.57632,0.481136225784818,"x","velocity w/ coordinates","shannon index"
2750742.22028,0.481103612385966,"x","velocity w/ coordinates","shannon index"
2754815.86424,0.481072735524288,"x","velocity w/ coordinates","shannon index"
2758889.5082,0.489147226774582,"x","velocity w/ coordinates","shannon index"
2762963.15216,0.488560794197299,"x","velocity w/ coordinates","shannon index"
2767036.79612,0.488560794197299,"x","velocity w/ coordinates","shannon index"
2771110.44008,0.494211358052713,"x","velocity w/ coordinates","shannon index"
2775184.08404,0.553033121068169,"x","velocity w/ coordinates","shannon index"
2779257.728,0.584533980461182,"x","velocity w/ coordinates","shannon index"
