"x","yhat","predictors","model","index"
2575575.53,0.256771498183787,"x","v + wd w/ coordinates","rel_abundance"
2579649.17396,0.255125080770763,"x","v + wd w/ coordinates","rel_abundance"
2583722.81792,0.231387670663899,"x","v + wd w/ coordinates","rel_abundance"
2587796.46188,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2591870.10584,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2595943.7498,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2600017.39376,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2604091.03772,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2608164.68168,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2612238.32564,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2616311.9696,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2620385.61356,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2624459.25752,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2628532.90148,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2632606.54544,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2636680.1894,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2640753.83336,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2644827.47732,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2648901.12128,0.214918744209823,"x","v + wd w/ coordinates","rel_abundance"
2652974.76524,0.203055846244512,"x","v + wd w/ coordinates","rel_abundance"
2657048.4092,0.195127131209038,"x","v + wd w/ coordinates","rel_abundance"
2661122.05316,0.195061804666415,"x","v + wd w/ coordinates","rel_abundance"
2665195.69712,0.194991112954848,"x","v + wd w/ coordinates","rel_abundance"
2669269.34108,0.194863236445397,"x","v + wd w/ coordinates","rel_abundance"
2673342.98504,0.194863236445397,"x","v + wd w/ coordinates","rel_abundance"
2677416.629,0.194863236445397,"x","v + wd w/ coordinates","rel_abundance"
2681490.27296,0.194863236445397,"x","v + wd w/ coordinates","rel_abundance"
2685563.91692,0.194863236445397,"x","v + wd w/ coordinates","rel_abundance"
2689637.56088,0.194863236445397,"x","v + wd w/ coordinates","rel_abundance"
2693711.20484,0.194863236445397,"x","v + wd w/ coordinates","rel_abundance"
2697784.8488,0.194863236445397,"x","v + wd w/ coordinates","rel_abundance"
2701858.49276,0.194863236445397,"x","v + wd w/ coordinates","rel_abundance"
2705932.13672,0.194863236445397,"x","v + wd w/ coordinates","rel_abundance"
2710005.78068,0.194863236445397,"x","v + wd w/ coordinates","rel_abundance"
2714079.42464,0.194863236445397,"x","v + wd w/ coordinates","rel_abundance"
2718153.0686,0.194863236445397,"x","v + wd w/ coordinates","rel_abundance"
2722226.71256,0.194863236445397,"x","v + wd w/ coordinates","rel_abundance"
2726300.35652,0.186874580455856,"x","v + wd w/ coordinates","rel_abundance"
2730374.00048,0.187620758309027,"x","v + wd w/ coordinates","rel_abundance"
2734447.64444,0.190479803984642,"x","v + wd w/ coordinates","rel_abundance"
2738521.2884,0.201739120388525,"x","v + wd w/ coordinates","rel_abundance"
2742594.93236,0.189159896078566,"x","v + wd w/ coordinates","rel_abundance"
2746668.57632,0.173395851207127,"x","v + wd w/ coordinates","rel_abundance"
2750742.22028,0.17328640874695,"x","v + wd w/ coordinates","rel_abundance"
2754815.86424,0.172980456905236,"x","v + wd w/ coordinates","rel_abundance"
2758889.5082,0.169731496354756,"x","v + wd w/ coordinates","rel_abundance"
2762963.15216,0.169601853171891,"x","v + wd w/ coordinates","rel_abundance"
2767036.79612,0.169601853171891,"x","v + wd w/ coordinates","rel_abundance"
2771110.44008,0.173714346225309,"x","v + wd w/ coordinates","rel_abundance"
2775184.08404,0.181190481240609,"x","v + wd w/ coordinates","rel_abundance"
2779257.728,0.187727122570047,"x","v + wd w/ coordinates","rel_abundance"
