"y","yhat","predictors","model","index"
1118905.656,734.498777755732,"y","velocity w/ coordinates","abundance"
1121771.19458,821.659716060406,"y","velocity w/ coordinates","abundance"
1124636.73316,853.48765805776,"y","velocity w/ coordinates","abundance"
1127502.27174,862.106544521605,"y","velocity w/ coordinates","abundance"
1130367.81032,912.798271615961,"y","velocity w/ coordinates","abundance"
1133233.3489,912.798271615961,"y","velocity w/ coordinates","abundance"
1136098.88748,891.928700385802,"y","velocity w/ coordinates","abundance"
1138964.42606,891.928700385802,"y","velocity w/ coordinates","abundance"
1141829.96464,891.928700385802,"y","velocity w/ coordinates","abundance"
1144695.50322,891.862583101852,"y","velocity w/ coordinates","abundance"
1147561.0418,886.533735152116,"y","velocity w/ coordinates","abundance"
1150426.58038,892.773234138007,"y","velocity w/ coordinates","abundance"
1153292.11896,848.334248820547,"y","velocity w/ coordinates","abundance"
1156157.65754,848.254818264991,"y","velocity w/ coordinates","abundance"
1159023.19612,846.647509733245,"y","velocity w/ coordinates","abundance"
1161888.7347,844.354822233245,"y","velocity w/ coordinates","abundance"
1164754.27328,844.354822233245,"y","velocity w/ coordinates","abundance"
1167619.81186,844.354822233245,"y","velocity w/ coordinates","abundance"
1170485.35044,843.186884656085,"y","velocity w/ coordinates","abundance"
1173350.88902,843.186884656085,"y","velocity w/ coordinates","abundance"
1176216.4276,930.738152006173,"y","velocity w/ coordinates","abundance"
1179081.96618,931.74939574515,"y","velocity w/ coordinates","abundance"
1181947.50476,898.838664858907,"y","velocity w/ coordinates","abundance"
1184813.04334,880.097601752646,"y","velocity w/ coordinates","abundance"
1187678.58192,737.829789847884,"y","velocity w/ coordinates","abundance"
1190544.1205,744.561800793651,"y","velocity w/ coordinates","abundance"
1193409.65908,748.92025914903,"y","velocity w/ coordinates","abundance"
1196275.19766,738.575354552469,"y","velocity w/ coordinates","abundance"
1199140.73624,726.398983553792,"y","velocity w/ coordinates","abundance"
1202006.27482,716.889345304233,"y","velocity w/ coordinates","abundance"
1204871.8134,717.633374779542,"y","velocity w/ coordinates","abundance"
1207737.35198,717.633374779542,"y","velocity w/ coordinates","abundance"
1210602.89056,717.633374779542,"y","velocity w/ coordinates","abundance"
1213468.42914,717.633374779542,"y","velocity w/ coordinates","abundance"
1216333.96772,717.653464065256,"y","velocity w/ coordinates","abundance"
1219199.5063,718.507201333774,"y","velocity w/ coordinates","abundance"
1222065.04488,719.0913147597,"y","velocity w/ coordinates","abundance"
1224930.58346,720.181031580688,"y","velocity w/ coordinates","abundance"
1227796.12204,722.456022453704,"y","velocity w/ coordinates","abundance"
1230661.66062,756.116492570547,"y","velocity w/ coordinates","abundance"
1233527.1992,774.213980235891,"y","velocity w/ coordinates","abundance"
1236392.73778,774.213980235891,"y","velocity w/ coordinates","abundance"
1239258.27636,774.213980235891,"y","velocity w/ coordinates","abundance"
1242123.81494,774.213980235891,"y","velocity w/ coordinates","abundance"
1244989.35352,774.213980235891,"y","velocity w/ coordinates","abundance"
1247854.8921,774.213980235891,"y","velocity w/ coordinates","abundance"
1250720.43068,774.213980235891,"y","velocity w/ coordinates","abundance"
1253585.96926,909.794484777337,"y","velocity w/ coordinates","abundance"
1256451.50784,909.794484777337,"y","velocity w/ coordinates","abundance"
1259317.04642,908.840072266314,"y","velocity w/ coordinates","abundance"
1262182.585,910.846060604056,"y","velocity w/ coordinates","abundance"
