"y","yhat","predictors","model","index"
1118905.656,2.237660920107,"y","velocity w/ coordinates","shannon_index"
1121771.19458,2.49152933805945,"y","velocity w/ coordinates","shannon_index"
1124636.73316,2.50778569806326,"y","velocity w/ coordinates","shannon_index"
1127502.27174,2.51311248923042,"y","velocity w/ coordinates","shannon_index"
1130367.81032,2.53114521904265,"y","velocity w/ coordinates","shannon_index"
1133233.3489,2.53114521904265,"y","velocity w/ coordinates","shannon_index"
1136098.88748,2.53381024848979,"y","velocity w/ coordinates","shannon_index"
1138964.42606,2.53381024848979,"y","velocity w/ coordinates","shannon_index"
1141829.96464,2.53381024848979,"y","velocity w/ coordinates","shannon_index"
1144695.50322,2.53401887765428,"y","velocity w/ coordinates","shannon_index"
1147561.0418,2.54203195816291,"y","velocity w/ coordinates","shannon_index"
1150426.58038,2.5418535992084,"y","velocity w/ coordinates","shannon_index"
1153292.11896,2.55911509592231,"y","velocity w/ coordinates","shannon_index"
1156157.65754,2.5593288916239,"y","velocity w/ coordinates","shannon_index"
1159023.19612,2.55579258871377,"y","velocity w/ coordinates","shannon_index"
1161888.7347,2.55668869131441,"y","velocity w/ coordinates","shannon_index"
1164754.27328,2.55668869131441,"y","velocity w/ coordinates","shannon_index"
1167619.81186,2.55668869131441,"y","velocity w/ coordinates","shannon_index"
1170485.35044,2.55614574648111,"y","velocity w/ coordinates","shannon_index"
1173350.88902,2.55614574648111,"y","velocity w/ coordinates","shannon_index"
1176216.4276,2.5388415057888,"y","velocity w/ coordinates","shannon_index"
1179081.96618,2.53770390162277,"y","velocity w/ coordinates","shannon_index"
1181947.50476,2.54743985465499,"y","velocity w/ coordinates","shannon_index"
1184813.04334,2.55334066952913,"y","velocity w/ coordinates","shannon_index"
1187678.58192,2.52602578295829,"y","velocity w/ coordinates","shannon_index"
1190544.1205,2.52386437998785,"y","velocity w/ coordinates","shannon_index"
1193409.65908,2.51364041193864,"y","velocity w/ coordinates","shannon_index"
1196275.19766,2.50509016048534,"y","velocity w/ coordinates","shannon_index"
1199140.73624,2.49212730092026,"y","velocity w/ coordinates","shannon_index"
1202006.27482,2.50066735653984,"y","velocity w/ coordinates","shannon_index"
1204871.8134,2.54569229066354,"y","velocity w/ coordinates","shannon_index"
1207737.35198,2.54569229066354,"y","velocity w/ coordinates","shannon_index"
1210602.89056,2.54569229066354,"y","velocity w/ coordinates","shannon_index"
1213468.42914,2.54566240216377,"y","velocity w/ coordinates","shannon_index"
1216333.96772,2.54566240216377,"y","velocity w/ coordinates","shannon_index"
1219199.5063,2.54798119539316,"y","velocity w/ coordinates","shannon_index"
1222065.04488,2.54979647772222,"y","velocity w/ coordinates","shannon_index"
1224930.58346,2.56122827632988,"y","velocity w/ coordinates","shannon_index"
1227796.12204,2.58408068702811,"y","velocity w/ coordinates","shannon_index"
1230661.66062,2.64928017027893,"y","velocity w/ coordinates","shannon_index"
1233527.1992,2.65901807633629,"y","velocity w/ coordinates","shannon_index"
1236392.73778,2.65901807633629,"y","velocity w/ coordinates","shannon_index"
1239258.27636,2.65901807633629,"y","velocity w/ coordinates","shannon_index"
1242123.81494,2.65901807633629,"y","velocity w/ coordinates","shannon_index"
1244989.35352,2.65901807633629,"y","velocity w/ coordinates","shannon_index"
1247854.8921,2.65901807633629,"y","velocity w/ coordinates","shannon_index"
1250720.43068,2.65901807633629,"y","velocity w/ coordinates","shannon_index"
1253585.96926,2.65915600668502,"y","velocity w/ coordinates","shannon_index"
1256451.50784,2.65915600668502,"y","velocity w/ coordinates","shannon_index"
1259317.04642,2.65818560168592,"y","velocity w/ coordinates","shannon_index"
1262182.585,2.65600932469499,"y","velocity w/ coordinates","shannon_index"
