"z","yhat","predictors","model","index"
229.672,0.4835058838345,"z_c","sampling w/o coordinates","k_index"
253.0755,0.533246581753095,"z_c","sampling w/o coordinates","k_index"
276.479,0.533768609058166,"z_c","sampling w/o coordinates","k_index"
299.8825,0.551360333311385,"z_c","sampling w/o coordinates","k_index"
323.286,0.551360333311385,"z_c","sampling w/o coordinates","k_index"
346.6895,0.551311505121597,"z_c","sampling w/o coordinates","k_index"
370.093,0.55298696965843,"z_c","sampling w/o coordinates","k_index"
393.4965,0.556619784646276,"z_c","sampling w/o coordinates","k_index"
416.9,0.556619784646276,"z_c","sampling w/o coordinates","k_index"
440.3035,0.556472122345282,"z_c","sampling w/o coordinates","k_index"
463.707,0.549485257894233,"z_c","sampling w/o coordinates","k_index"
487.1105,0.558394732034725,"z_c","sampling w/o coordinates","k_index"
510.514,0.553532856745996,"z_c","sampling w/o coordinates","k_index"
533.9175,0.508261966586545,"z_c","sampling w/o coordinates","k_index"
557.321,0.587442404442075,"z_c","sampling w/o coordinates","k_index"
580.7245,0.591998553902343,"z_c","sampling w/o coordinates","k_index"
604.128,0.552494824148607,"z_c","sampling w/o coordinates","k_index"
627.5315,0.569524536638156,"z_c","sampling w/o coordinates","k_index"
650.935,0.569570611568465,"z_c","sampling w/o coordinates","k_index"
674.3385,0.569033370501753,"z_c","sampling w/o coordinates","k_index"
697.742,0.567739204652068,"z_c","sampling w/o coordinates","k_index"
721.1455,0.567460552829763,"z_c","sampling w/o coordinates","k_index"
744.549,0.565919747171195,"z_c","sampling w/o coordinates","k_index"
767.9525,0.494583220936466,"z_c","sampling w/o coordinates","k_index"
791.356,0.493396791103094,"z_c","sampling w/o coordinates","k_index"
814.7595,0.485239456569695,"z_c","sampling w/o coordinates","k_index"
838.163,0.496807419482376,"z_c","sampling w/o coordinates","k_index"
861.5665,0.496807419482376,"z_c","sampling w/o coordinates","k_index"
884.97,0.499281298925938,"z_c","sampling w/o coordinates","k_index"
908.3735,0.499281298925938,"z_c","sampling w/o coordinates","k_index"
931.777,0.499281298925938,"z_c","sampling w/o coordinates","k_index"
955.1805,0.499281298925938,"z_c","sampling w/o coordinates","k_index"
978.584,0.501101632673374,"z_c","sampling w/o coordinates","k_index"
1001.9875,0.503113290946256,"z_c","sampling w/o coordinates","k_index"
1025.391,0.503113290946256,"z_c","sampling w/o coordinates","k_index"
1048.7945,0.503113290946256,"z_c","sampling w/o coordinates","k_index"
1072.198,0.503082799715111,"z_c","sampling w/o coordinates","k_index"
1095.6015,0.504419547816118,"z_c","sampling w/o coordinates","k_index"
1119.005,0.504122733205989,"z_c","sampling w/o coordinates","k_index"
1142.4085,0.504122733205989,"z_c","sampling w/o coordinates","k_index"
1165.812,0.489849975616064,"z_c","sampling w/o coordinates","k_index"
1189.2155,0.489849975616064,"z_c","sampling w/o coordinates","k_index"
1212.619,0.489849975616064,"z_c","sampling w/o coordinates","k_index"
1236.0225,0.489849975616064,"z_c","sampling w/o coordinates","k_index"
1259.426,0.489849975616064,"z_c","sampling w/o coordinates","k_index"
1282.8295,0.496281499110594,"z_c","sampling w/o coordinates","k_index"
1306.233,0.496281499110594,"z_c","sampling w/o coordinates","k_index"
1329.6365,0.496281499110594,"z_c","sampling w/o coordinates","k_index"
1353.04,0.496281499110594,"z_c","sampling w/o coordinates","k_index"
1376.4435,0.496281499110594,"z_c","sampling w/o coordinates","k_index"
1399.847,0.573419869108045,"z_c","sampling w/o coordinates","k_index"
