"z","yhat","predictors","model","index"
229.672,0.141968607968327,"z","sampling w/o coordinates","rel_abundance"
253.0755,0.199152710793567,"z","sampling w/o coordinates","rel_abundance"
276.479,0.211324517520657,"z","sampling w/o coordinates","rel_abundance"
299.8825,0.227392234893489,"z","sampling w/o coordinates","rel_abundance"
323.286,0.227392234893489,"z","sampling w/o coordinates","rel_abundance"
346.6895,0.227943187849461,"z","sampling w/o coordinates","rel_abundance"
370.093,0.226845679575226,"z","sampling w/o coordinates","rel_abundance"
393.4965,0.22649010333597,"z","sampling w/o coordinates","rel_abundance"
416.9,0.225759268222053,"z","sampling w/o coordinates","rel_abundance"
440.3035,0.225670262722406,"z","sampling w/o coordinates","rel_abundance"
463.707,0.222534347598886,"z","sampling w/o coordinates","rel_abundance"
487.1105,0.289358846591853,"z","sampling w/o coordinates","rel_abundance"
510.514,0.284816845738585,"z","sampling w/o coordinates","rel_abundance"
533.9175,0.27169885409429,"z","sampling w/o coordinates","rel_abundance"
557.321,0.198834891997926,"z","sampling w/o coordinates","rel_abundance"
580.7245,0.171881617980746,"z","sampling w/o coordinates","rel_abundance"
604.128,0.18237888479026,"z","sampling w/o coordinates","rel_abundance"
627.5315,0.183367378785329,"z","sampling w/o coordinates","rel_abundance"
650.935,0.183301235176285,"z","sampling w/o coordinates","rel_abundance"
674.3385,0.177403042527157,"z","sampling w/o coordinates","rel_abundance"
697.742,0.191617295108871,"z","sampling w/o coordinates","rel_abundance"
721.1455,0.190855330291569,"z","sampling w/o coordinates","rel_abundance"
744.549,0.207590778011565,"z","sampling w/o coordinates","rel_abundance"
767.9525,0.246811237260429,"z","sampling w/o coordinates","rel_abundance"
791.356,0.316224577985164,"z","sampling w/o coordinates","rel_abundance"
814.7595,0.289590907175148,"z","sampling w/o coordinates","rel_abundance"
838.163,0.171755557493178,"z","sampling w/o coordinates","rel_abundance"
861.5665,0.170674512401119,"z","sampling w/o coordinates","rel_abundance"
884.97,0.170770246676841,"z","sampling w/o coordinates","rel_abundance"
908.3735,0.170770246676841,"z","sampling w/o coordinates","rel_abundance"
931.777,0.170770246676841,"z","sampling w/o coordinates","rel_abundance"
955.1805,0.170799975019822,"z","sampling w/o coordinates","rel_abundance"
978.584,0.170242962887193,"z","sampling w/o coordinates","rel_abundance"
1001.9875,0.161474989809389,"z","sampling w/o coordinates","rel_abundance"
1025.391,0.161474989809389,"z","sampling w/o coordinates","rel_abundance"
1048.7945,0.161474989809389,"z","sampling w/o coordinates","rel_abundance"
1072.198,0.161474989809389,"z","sampling w/o coordinates","rel_abundance"
1095.6015,0.161247198778269,"z","sampling w/o coordinates","rel_abundance"
1119.005,0.152274563267871,"z","sampling w/o coordinates","rel_abundance"
1142.4085,0.152274563267871,"z","sampling w/o coordinates","rel_abundance"
1165.812,0.142862313373041,"z","sampling w/o coordinates","rel_abundance"
1189.2155,0.142862313373041,"z","sampling w/o coordinates","rel_abundance"
1212.619,0.142862313373041,"z","sampling w/o coordinates","rel_abundance"
1236.0225,0.142862313373041,"z","sampling w/o coordinates","rel_abundance"
1259.426,0.142862313373041,"z","sampling w/o coordinates","rel_abundance"
1282.8295,0.166244067820406,"z","sampling w/o coordinates","rel_abundance"
1306.233,0.166244067820406,"z","sampling w/o coordinates","rel_abundance"
1329.6365,0.166244067820406,"z","sampling w/o coordinates","rel_abundance"
1353.04,0.166244067820406,"z","sampling w/o coordinates","rel_abundance"
1376.4435,0.166244067820406,"z","sampling w/o coordinates","rel_abundance"
1399.847,0.169237629520585,"z","sampling w/o coordinates","rel_abundance"
