"z","yhat","predictors","model","index"
229.672,756.374691139769,"z","sampling w/ coordinates","abundance"
253.0755,756.504199116318,"z","sampling w/ coordinates","abundance"
276.479,756.504199116318,"z","sampling w/ coordinates","abundance"
299.8825,751.029617521498,"z","sampling w/ coordinates","abundance"
323.286,751.029617521498,"z","sampling w/ coordinates","abundance"
346.6895,751.029617521498,"z","sampling w/ coordinates","abundance"
370.093,751.029617521498,"z","sampling w/ coordinates","abundance"
393.4965,751.029617521498,"z","sampling w/ coordinates","abundance"
416.9,751.029617521498,"z","sampling w/ coordinates","abundance"
440.3035,751.029617521498,"z","sampling w/ coordinates","abundance"
463.707,754.665911425043,"z","sampling w/ coordinates","abundance"
487.1105,763.441719423842,"z","sampling w/ coordinates","abundance"
510.514,741.727599194756,"z","sampling w/ coordinates","abundance"
533.9175,734.140587550622,"z","sampling w/ coordinates","abundance"
557.321,734.110256751378,"z","sampling w/ coordinates","abundance"
580.7245,741.831393793777,"z","sampling w/ coordinates","abundance"
604.128,781.430618884387,"z","sampling w/ coordinates","abundance"
627.5315,781.10356863119,"z","sampling w/ coordinates","abundance"
650.935,781.10356863119,"z","sampling w/ coordinates","abundance"
674.3385,781.10356863119,"z","sampling w/ coordinates","abundance"
697.742,781.10356863119,"z","sampling w/ coordinates","abundance"
721.1455,781.10356863119,"z","sampling w/ coordinates","abundance"
744.549,781.10356863119,"z","sampling w/ coordinates","abundance"
767.9525,781.10356863119,"z","sampling w/ coordinates","abundance"
791.356,783.647185301339,"z","sampling w/ coordinates","abundance"
814.7595,783.647185301339,"z","sampling w/ coordinates","abundance"
838.163,758.671531537065,"z","sampling w/ coordinates","abundance"
861.5665,758.671531537065,"z","sampling w/ coordinates","abundance"
884.97,758.671531537065,"z","sampling w/ coordinates","abundance"
908.3735,758.671531537065,"z","sampling w/ coordinates","abundance"
931.777,758.671531537065,"z","sampling w/ coordinates","abundance"
955.1805,758.671531537065,"z","sampling w/ coordinates","abundance"
978.584,755.223394794597,"z","sampling w/ coordinates","abundance"
1001.9875,755.223394794597,"z","sampling w/ coordinates","abundance"
1025.391,755.223394794597,"z","sampling w/ coordinates","abundance"
1048.7945,755.223394794597,"z","sampling w/ coordinates","abundance"
1072.198,755.223394794597,"z","sampling w/ coordinates","abundance"
1095.6015,755.223394794597,"z","sampling w/ coordinates","abundance"
1119.005,755.223394794597,"z","sampling w/ coordinates","abundance"
1142.4085,755.223394794597,"z","sampling w/ coordinates","abundance"
1165.812,725.696054458618,"z","sampling w/ coordinates","abundance"
1189.2155,725.696054458618,"z","sampling w/ coordinates","abundance"
1212.619,725.696054458618,"z","sampling w/ coordinates","abundance"
1236.0225,725.696054458618,"z","sampling w/ coordinates","abundance"
1259.426,725.696054458618,"z","sampling w/ coordinates","abundance"
1282.8295,726.643170321705,"z","sampling w/ coordinates","abundance"
1306.233,726.643170321705,"z","sampling w/ coordinates","abundance"
1329.6365,726.643170321705,"z","sampling w/ coordinates","abundance"
1353.04,726.643170321705,"z","sampling w/ coordinates","abundance"
1376.4435,726.643170321705,"z","sampling w/ coordinates","abundance"
1399.847,730.674398629202,"z","sampling w/ coordinates","abundance"
