"z","yhat","predictors","model","index"
229.672,692.333340430605,"z","all predictors w/o coordinates","abundance"
253.0755,666.834210983221,"z","all predictors w/o coordinates","abundance"
276.479,664.407505566875,"z","all predictors w/o coordinates","abundance"
299.8825,669.610330357068,"z","all predictors w/o coordinates","abundance"
323.286,669.610330357068,"z","all predictors w/o coordinates","abundance"
346.6895,669.610330357068,"z","all predictors w/o coordinates","abundance"
370.093,669.610330357068,"z","all predictors w/o coordinates","abundance"
393.4965,669.610330357068,"z","all predictors w/o coordinates","abundance"
416.9,669.610330357068,"z","all predictors w/o coordinates","abundance"
440.3035,669.610330357068,"z","all predictors w/o coordinates","abundance"
463.707,672.990371674731,"z","all predictors w/o coordinates","abundance"
487.1105,728.911259278007,"z","all predictors w/o coordinates","abundance"
510.514,728.940406395041,"z","all predictors w/o coordinates","abundance"
533.9175,736.938740535059,"z","all predictors w/o coordinates","abundance"
557.321,725.660167481156,"z","all predictors w/o coordinates","abundance"
580.7245,774.191343853439,"z","all predictors w/o coordinates","abundance"
604.128,757.234949955042,"z","all predictors w/o coordinates","abundance"
627.5315,752.114112202672,"z","all predictors w/o coordinates","abundance"
650.935,752.114112202672,"z","all predictors w/o coordinates","abundance"
674.3385,752.435807613359,"z","all predictors w/o coordinates","abundance"
697.742,752.435807613359,"z","all predictors w/o coordinates","abundance"
721.1455,752.435807613359,"z","all predictors w/o coordinates","abundance"
744.549,733.136898334476,"z","all predictors w/o coordinates","abundance"
767.9525,733.136898334476,"z","all predictors w/o coordinates","abundance"
791.356,863.823801980502,"z","all predictors w/o coordinates","abundance"
814.7595,863.823801980502,"z","all predictors w/o coordinates","abundance"
838.163,705.375136841898,"z","all predictors w/o coordinates","abundance"
861.5665,705.375136841898,"z","all predictors w/o coordinates","abundance"
884.97,705.375136841898,"z","all predictors w/o coordinates","abundance"
908.3735,705.375136841898,"z","all predictors w/o coordinates","abundance"
931.777,705.375136841898,"z","all predictors w/o coordinates","abundance"
955.1805,705.375136841898,"z","all predictors w/o coordinates","abundance"
978.584,705.375136841898,"z","all predictors w/o coordinates","abundance"
1001.9875,702.403912488965,"z","all predictors w/o coordinates","abundance"
1025.391,702.403912488965,"z","all predictors w/o coordinates","abundance"
1048.7945,702.403912488965,"z","all predictors w/o coordinates","abundance"
1072.198,702.403912488965,"z","all predictors w/o coordinates","abundance"
1095.6015,702.403912488965,"z","all predictors w/o coordinates","abundance"
1119.005,702.403912488965,"z","all predictors w/o coordinates","abundance"
1142.4085,702.403912488965,"z","all predictors w/o coordinates","abundance"
1165.812,700.482422168704,"z","all predictors w/o coordinates","abundance"
1189.2155,700.482422168704,"z","all predictors w/o coordinates","abundance"
1212.619,700.482422168704,"z","all predictors w/o coordinates","abundance"
1236.0225,700.482422168704,"z","all predictors w/o coordinates","abundance"
1259.426,700.482422168704,"z","all predictors w/o coordinates","abundance"
1282.8295,700.482422168704,"z","all predictors w/o coordinates","abundance"
1306.233,700.482422168704,"z","all predictors w/o coordinates","abundance"
1329.6365,700.482422168704,"z","all predictors w/o coordinates","abundance"
1353.04,700.482422168704,"z","all predictors w/o coordinates","abundance"
1376.4435,700.482422168704,"z","all predictors w/o coordinates","abundance"
1399.847,690.424623565397,"z","all predictors w/o coordinates","abundance"
