"z","yhat","predictors","model","index"
229.672,731.96567773098,"z","all predictors w/o coordinates","abundance"
253.0755,759.281041078907,"z","all predictors w/o coordinates","abundance"
276.479,762.734616707213,"z","all predictors w/o coordinates","abundance"
299.8825,765.030751467458,"z","all predictors w/o coordinates","abundance"
323.286,765.030751467458,"z","all predictors w/o coordinates","abundance"
346.6895,765.030751467458,"z","all predictors w/o coordinates","abundance"
370.093,765.390136961285,"z","all predictors w/o coordinates","abundance"
393.4965,765.390136961285,"z","all predictors w/o coordinates","abundance"
416.9,765.357507331655,"z","all predictors w/o coordinates","abundance"
440.3035,765.357507331655,"z","all predictors w/o coordinates","abundance"
463.707,766.105139248401,"z","all predictors w/o coordinates","abundance"
487.1105,778.84962848414,"z","all predictors w/o coordinates","abundance"
510.514,779.209346473558,"z","all predictors w/o coordinates","abundance"
533.9175,778.38480775636,"z","all predictors w/o coordinates","abundance"
557.321,776.779314991075,"z","all predictors w/o coordinates","abundance"
580.7245,773.645759084304,"z","all predictors w/o coordinates","abundance"
604.128,769.911509440917,"z","all predictors w/o coordinates","abundance"
627.5315,769.911509440917,"z","all predictors w/o coordinates","abundance"
650.935,770.023435366843,"z","all predictors w/o coordinates","abundance"
674.3385,769.894468700176,"z","all predictors w/o coordinates","abundance"
697.742,772.359429352733,"z","all predictors w/o coordinates","abundance"
721.1455,772.565277655202,"z","all predictors w/o coordinates","abundance"
744.549,773.12463154997,"z","all predictors w/o coordinates","abundance"
767.9525,773.12463154997,"z","all predictors w/o coordinates","abundance"
791.356,774.495730227219,"z","all predictors w/o coordinates","abundance"
814.7595,773.514055337448,"z","all predictors w/o coordinates","abundance"
838.163,773.73549461214,"z","all predictors w/o coordinates","abundance"
861.5665,772.161269215314,"z","all predictors w/o coordinates","abundance"
884.97,772.161269215314,"z","all predictors w/o coordinates","abundance"
908.3735,772.161269215314,"z","all predictors w/o coordinates","abundance"
931.777,772.161269215314,"z","all predictors w/o coordinates","abundance"
955.1805,772.058216305261,"z","all predictors w/o coordinates","abundance"
978.584,767.585427394326,"z","all predictors w/o coordinates","abundance"
1001.9875,766.707239977279,"z","all predictors w/o coordinates","abundance"
1025.391,766.707239977279,"z","all predictors w/o coordinates","abundance"
1048.7945,766.707239977279,"z","all predictors w/o coordinates","abundance"
1072.198,766.707239977279,"z","all predictors w/o coordinates","abundance"
1095.6015,766.2393526316,"z","all predictors w/o coordinates","abundance"
1119.005,765.989920826779,"z","all predictors w/o coordinates","abundance"
1142.4085,765.989920826779,"z","all predictors w/o coordinates","abundance"
1165.812,766.029325129395,"z","all predictors w/o coordinates","abundance"
1189.2155,766.029325129395,"z","all predictors w/o coordinates","abundance"
1212.619,766.029325129395,"z","all predictors w/o coordinates","abundance"
1236.0225,766.029325129395,"z","all predictors w/o coordinates","abundance"
1259.426,766.029325129395,"z","all predictors w/o coordinates","abundance"
1282.8295,767.780805541653,"z","all predictors w/o coordinates","abundance"
1306.233,767.780805541653,"z","all predictors w/o coordinates","abundance"
1329.6365,767.780805541653,"z","all predictors w/o coordinates","abundance"
1353.04,767.780805541653,"z","all predictors w/o coordinates","abundance"
1376.4435,767.780805541653,"z","all predictors w/o coordinates","abundance"
1399.847,770.354844403819,"z","all predictors w/o coordinates","abundance"
