"z","yhat","predictors","model","index"
229.672,0.505791343343647,"z","sampling w/o coordinates","k_index"
253.0755,0.536425545028802,"z","sampling w/o coordinates","k_index"
276.479,0.552099675533996,"z","sampling w/o coordinates","k_index"
299.8825,0.550338370914476,"z","sampling w/o coordinates","k_index"
323.286,0.550338370914476,"z","sampling w/o coordinates","k_index"
346.6895,0.550338370914476,"z","sampling w/o coordinates","k_index"
370.093,0.550338370914476,"z","sampling w/o coordinates","k_index"
393.4965,0.550338370914476,"z","sampling w/o coordinates","k_index"
416.9,0.550338370914476,"z","sampling w/o coordinates","k_index"
440.3035,0.550338370914476,"z","sampling w/o coordinates","k_index"
463.707,0.541426766420836,"z","sampling w/o coordinates","k_index"
487.1105,0.562336053429306,"z","sampling w/o coordinates","k_index"
510.514,0.562336053429306,"z","sampling w/o coordinates","k_index"
533.9175,0.546703376037919,"z","sampling w/o coordinates","k_index"
557.321,0.546118816198862,"z","sampling w/o coordinates","k_index"
580.7245,0.565546038250128,"z","sampling w/o coordinates","k_index"
604.128,0.570649500558342,"z","sampling w/o coordinates","k_index"
627.5315,0.555674928496929,"z","sampling w/o coordinates","k_index"
650.935,0.555674928496929,"z","sampling w/o coordinates","k_index"
674.3385,0.555674928496929,"z","sampling w/o coordinates","k_index"
697.742,0.555674928496929,"z","sampling w/o coordinates","k_index"
721.1455,0.555674928496929,"z","sampling w/o coordinates","k_index"
744.549,0.565549020372007,"z","sampling w/o coordinates","k_index"
767.9525,0.565549020372007,"z","sampling w/o coordinates","k_index"
791.356,0.561707565803891,"z","sampling w/o coordinates","k_index"
814.7595,0.561707565803891,"z","sampling w/o coordinates","k_index"
838.163,0.565755286159507,"z","sampling w/o coordinates","k_index"
861.5665,0.565755286159507,"z","sampling w/o coordinates","k_index"
884.97,0.565755286159507,"z","sampling w/o coordinates","k_index"
908.3735,0.565755286159507,"z","sampling w/o coordinates","k_index"
931.777,0.565755286159507,"z","sampling w/o coordinates","k_index"
955.1805,0.565755286159507,"z","sampling w/o coordinates","k_index"
978.584,0.565755286159507,"z","sampling w/o coordinates","k_index"
1001.9875,0.565755286159507,"z","sampling w/o coordinates","k_index"
1025.391,0.565755286159507,"z","sampling w/o coordinates","k_index"
1048.7945,0.565755286159507,"z","sampling w/o coordinates","k_index"
1072.198,0.565755286159507,"z","sampling w/o coordinates","k_index"
1095.6015,0.565755286159507,"z","sampling w/o coordinates","k_index"
1119.005,0.565755286159507,"z","sampling w/o coordinates","k_index"
1142.4085,0.565755286159507,"z","sampling w/o coordinates","k_index"
1165.812,0.544046255179505,"z","sampling w/o coordinates","k_index"
1189.2155,0.544046255179505,"z","sampling w/o coordinates","k_index"
1212.619,0.544046255179505,"z","sampling w/o coordinates","k_index"
1236.0225,0.544046255179505,"z","sampling w/o coordinates","k_index"
1259.426,0.544046255179505,"z","sampling w/o coordinates","k_index"
1282.8295,0.544046255179505,"z","sampling w/o coordinates","k_index"
1306.233,0.544046255179505,"z","sampling w/o coordinates","k_index"
1329.6365,0.544046255179505,"z","sampling w/o coordinates","k_index"
1353.04,0.544046255179505,"z","sampling w/o coordinates","k_index"
1376.4435,0.544046255179505,"z","sampling w/o coordinates","k_index"
1399.847,0.522800336672884,"z","sampling w/o coordinates","k_index"
