"z","yhat","predictors","model","index"
229.672,0.555596540614531,"z","sampling w/o coordinates","k_index"
253.0755,0.555441691580674,"z","sampling w/o coordinates","k_index"
276.479,0.559307314482504,"z","sampling w/o coordinates","k_index"
299.8825,0.559307314482504,"z","sampling w/o coordinates","k_index"
323.286,0.559307314482504,"z","sampling w/o coordinates","k_index"
346.6895,0.559307314482504,"z","sampling w/o coordinates","k_index"
370.093,0.559307314482504,"z","sampling w/o coordinates","k_index"
393.4965,0.559307314482504,"z","sampling w/o coordinates","k_index"
416.9,0.559307314482504,"z","sampling w/o coordinates","k_index"
440.3035,0.559307314482504,"z","sampling w/o coordinates","k_index"
463.707,0.555243215240214,"z","sampling w/o coordinates","k_index"
487.1105,0.551412732434877,"z","sampling w/o coordinates","k_index"
510.514,0.551412732434877,"z","sampling w/o coordinates","k_index"
533.9175,0.542074527024575,"z","sampling w/o coordinates","k_index"
557.321,0.522313420242373,"z","sampling w/o coordinates","k_index"
580.7245,0.536721008195393,"z","sampling w/o coordinates","k_index"
604.128,0.566778771633255,"z","sampling w/o coordinates","k_index"
627.5315,0.55915833140413,"z","sampling w/o coordinates","k_index"
650.935,0.55915833140413,"z","sampling w/o coordinates","k_index"
674.3385,0.55915833140413,"z","sampling w/o coordinates","k_index"
697.742,0.55915833140413,"z","sampling w/o coordinates","k_index"
721.1455,0.55915833140413,"z","sampling w/o coordinates","k_index"
744.549,0.561091818887254,"z","sampling w/o coordinates","k_index"
767.9525,0.561091818887254,"z","sampling w/o coordinates","k_index"
791.356,0.557058262112348,"z","sampling w/o coordinates","k_index"
814.7595,0.557058262112348,"z","sampling w/o coordinates","k_index"
838.163,0.550695440070569,"z","sampling w/o coordinates","k_index"
861.5665,0.550695440070569,"z","sampling w/o coordinates","k_index"
884.97,0.550695440070569,"z","sampling w/o coordinates","k_index"
908.3735,0.550695440070569,"z","sampling w/o coordinates","k_index"
931.777,0.550695440070569,"z","sampling w/o coordinates","k_index"
955.1805,0.550695440070569,"z","sampling w/o coordinates","k_index"
978.584,0.550695440070569,"z","sampling w/o coordinates","k_index"
1001.9875,0.550695440070569,"z","sampling w/o coordinates","k_index"
1025.391,0.550695440070569,"z","sampling w/o coordinates","k_index"
1048.7945,0.550695440070569,"z","sampling w/o coordinates","k_index"
1072.198,0.550695440070569,"z","sampling w/o coordinates","k_index"
1095.6015,0.550695440070569,"z","sampling w/o coordinates","k_index"
1119.005,0.550695440070569,"z","sampling w/o coordinates","k_index"
1142.4085,0.550695440070569,"z","sampling w/o coordinates","k_index"
1165.812,0.537644379596779,"z","sampling w/o coordinates","k_index"
1189.2155,0.537644379596779,"z","sampling w/o coordinates","k_index"
1212.619,0.537644379596779,"z","sampling w/o coordinates","k_index"
1236.0225,0.537644379596779,"z","sampling w/o coordinates","k_index"
1259.426,0.537644379596779,"z","sampling w/o coordinates","k_index"
1282.8295,0.537644379596779,"z","sampling w/o coordinates","k_index"
1306.233,0.537644379596779,"z","sampling w/o coordinates","k_index"
1329.6365,0.537644379596779,"z","sampling w/o coordinates","k_index"
1353.04,0.537644379596779,"z","sampling w/o coordinates","k_index"
1376.4435,0.537644379596779,"z","sampling w/o coordinates","k_index"
1399.847,0.54851096312421,"z","sampling w/o coordinates","k_index"
