"z","yhat","predictors","model","index"
229.672,0.202312392088869,"z","sampling w/ coordinates","rel_abundance"
253.0755,0.199813721158231,"z","sampling w/ coordinates","rel_abundance"
276.479,0.199813721158231,"z","sampling w/ coordinates","rel_abundance"
299.8825,0.199572447696011,"z","sampling w/ coordinates","rel_abundance"
323.286,0.199572447696011,"z","sampling w/ coordinates","rel_abundance"
346.6895,0.199572447696011,"z","sampling w/ coordinates","rel_abundance"
370.093,0.199572447696011,"z","sampling w/ coordinates","rel_abundance"
393.4965,0.199572447696011,"z","sampling w/ coordinates","rel_abundance"
416.9,0.199572447696011,"z","sampling w/ coordinates","rel_abundance"
440.3035,0.199572447696011,"z","sampling w/ coordinates","rel_abundance"
463.707,0.200199168125875,"z","sampling w/ coordinates","rel_abundance"
487.1105,0.198397913457248,"z","sampling w/ coordinates","rel_abundance"
510.514,0.193735369600256,"z","sampling w/ coordinates","rel_abundance"
533.9175,0.18770324252977,"z","sampling w/ coordinates","rel_abundance"
557.321,0.187080868627635,"z","sampling w/ coordinates","rel_abundance"
580.7245,0.190678790306534,"z","sampling w/ coordinates","rel_abundance"
604.128,0.190123117250753,"z","sampling w/ coordinates","rel_abundance"
627.5315,0.190129187732021,"z","sampling w/ coordinates","rel_abundance"
650.935,0.190129187732021,"z","sampling w/ coordinates","rel_abundance"
674.3385,0.190151212415744,"z","sampling w/ coordinates","rel_abundance"
697.742,0.190189558385841,"z","sampling w/ coordinates","rel_abundance"
721.1455,0.190189558385841,"z","sampling w/ coordinates","rel_abundance"
744.549,0.190189558385841,"z","sampling w/ coordinates","rel_abundance"
767.9525,0.190189558385841,"z","sampling w/ coordinates","rel_abundance"
791.356,0.212708336342109,"z","sampling w/ coordinates","rel_abundance"
814.7595,0.212708336342109,"z","sampling w/ coordinates","rel_abundance"
838.163,0.216801904493305,"z","sampling w/ coordinates","rel_abundance"
861.5665,0.216801904493305,"z","sampling w/ coordinates","rel_abundance"
884.97,0.216801904493305,"z","sampling w/ coordinates","rel_abundance"
908.3735,0.216801904493305,"z","sampling w/ coordinates","rel_abundance"
931.777,0.216801904493305,"z","sampling w/ coordinates","rel_abundance"
955.1805,0.216801904493305,"z","sampling w/ coordinates","rel_abundance"
978.584,0.216801904493305,"z","sampling w/ coordinates","rel_abundance"
1001.9875,0.21683610521507,"z","sampling w/ coordinates","rel_abundance"
1025.391,0.21683610521507,"z","sampling w/ coordinates","rel_abundance"
1048.7945,0.21683610521507,"z","sampling w/ coordinates","rel_abundance"
1072.198,0.21683610521507,"z","sampling w/ coordinates","rel_abundance"
1095.6015,0.21683610521507,"z","sampling w/ coordinates","rel_abundance"
1119.005,0.21683610521507,"z","sampling w/ coordinates","rel_abundance"
1142.4085,0.21683610521507,"z","sampling w/ coordinates","rel_abundance"
1165.812,0.218765696852373,"z","sampling w/ coordinates","rel_abundance"
1189.2155,0.218765696852373,"z","sampling w/ coordinates","rel_abundance"
1212.619,0.218765696852373,"z","sampling w/ coordinates","rel_abundance"
1236.0225,0.218765696852373,"z","sampling w/ coordinates","rel_abundance"
1259.426,0.218765696852373,"z","sampling w/ coordinates","rel_abundance"
1282.8295,0.218905450643635,"z","sampling w/ coordinates","rel_abundance"
1306.233,0.218905450643635,"z","sampling w/ coordinates","rel_abundance"
1329.6365,0.218905450643635,"z","sampling w/ coordinates","rel_abundance"
1353.04,0.218905450643635,"z","sampling w/ coordinates","rel_abundance"
1376.4435,0.218905450643635,"z","sampling w/ coordinates","rel_abundance"
1399.847,0.239582709761129,"z","sampling w/ coordinates","rel_abundance"
