"z","yhat","predictors","model","index"
229.672,0.185759932865455,"z","all predictors w/o coordinates","rel_abundance"
253.0755,0.186429672681807,"z","all predictors w/o coordinates","rel_abundance"
276.479,0.186477603273979,"z","all predictors w/o coordinates","rel_abundance"
299.8825,0.187218555633822,"z","all predictors w/o coordinates","rel_abundance"
323.286,0.187218555633822,"z","all predictors w/o coordinates","rel_abundance"
346.6895,0.187218555633822,"z","all predictors w/o coordinates","rel_abundance"
370.093,0.187085897188212,"z","all predictors w/o coordinates","rel_abundance"
393.4965,0.187090399005194,"z","all predictors w/o coordinates","rel_abundance"
416.9,0.186898717407383,"z","all predictors w/o coordinates","rel_abundance"
440.3035,0.186831611303285,"z","all predictors w/o coordinates","rel_abundance"
463.707,0.187442963439129,"z","all predictors w/o coordinates","rel_abundance"
487.1105,0.189205679158614,"z","all predictors w/o coordinates","rel_abundance"
510.514,0.188705890147338,"z","all predictors w/o coordinates","rel_abundance"
533.9175,0.188432883923492,"z","all predictors w/o coordinates","rel_abundance"
557.321,0.189502584977647,"z","all predictors w/o coordinates","rel_abundance"
580.7245,0.192471648098177,"z","all predictors w/o coordinates","rel_abundance"
604.128,0.196957736201985,"z","all predictors w/o coordinates","rel_abundance"
627.5315,0.196853323889774,"z","all predictors w/o coordinates","rel_abundance"
650.935,0.19689908671688,"z","all predictors w/o coordinates","rel_abundance"
674.3385,0.196872017752849,"z","all predictors w/o coordinates","rel_abundance"
697.742,0.197192897813994,"z","all predictors w/o coordinates","rel_abundance"
721.1455,0.197167986015496,"z","all predictors w/o coordinates","rel_abundance"
744.549,0.19705216228486,"z","all predictors w/o coordinates","rel_abundance"
767.9525,0.197253684245649,"z","all predictors w/o coordinates","rel_abundance"
791.356,0.207143443891395,"z","all predictors w/o coordinates","rel_abundance"
814.7595,0.2067048120828,"z","all predictors w/o coordinates","rel_abundance"
838.163,0.206320411858732,"z","all predictors w/o coordinates","rel_abundance"
861.5665,0.206268681842672,"z","all predictors w/o coordinates","rel_abundance"
884.97,0.206237734660133,"z","all predictors w/o coordinates","rel_abundance"
908.3735,0.206237734660133,"z","all predictors w/o coordinates","rel_abundance"
931.777,0.206236425029453,"z","all predictors w/o coordinates","rel_abundance"
955.1805,0.206232486901652,"z","all predictors w/o coordinates","rel_abundance"
978.584,0.2062142697357,"z","all predictors w/o coordinates","rel_abundance"
1001.9875,0.205871415944104,"z","all predictors w/o coordinates","rel_abundance"
1025.391,0.205871761361505,"z","all predictors w/o coordinates","rel_abundance"
1048.7945,0.205871761361505,"z","all predictors w/o coordinates","rel_abundance"
1072.198,0.205903151860495,"z","all predictors w/o coordinates","rel_abundance"
1095.6015,0.205857578929397,"z","all predictors w/o coordinates","rel_abundance"
1119.005,0.205775803668672,"z","all predictors w/o coordinates","rel_abundance"
1142.4085,0.205775803668672,"z","all predictors w/o coordinates","rel_abundance"
1165.812,0.205704675751264,"z","all predictors w/o coordinates","rel_abundance"
1189.2155,0.205704675751264,"z","all predictors w/o coordinates","rel_abundance"
1212.619,0.205704675751264,"z","all predictors w/o coordinates","rel_abundance"
1236.0225,0.205704675751264,"z","all predictors w/o coordinates","rel_abundance"
1259.426,0.205704675751264,"z","all predictors w/o coordinates","rel_abundance"
1282.8295,0.206123450216131,"z","all predictors w/o coordinates","rel_abundance"
1306.233,0.206123450216131,"z","all predictors w/o coordinates","rel_abundance"
1329.6365,0.206123450216131,"z","all predictors w/o coordinates","rel_abundance"
1353.04,0.206123450216131,"z","all predictors w/o coordinates","rel_abundance"
1376.4435,0.206123450216131,"z","all predictors w/o coordinates","rel_abundance"
1399.847,0.20803337433132,"z","all predictors w/o coordinates","rel_abundance"
