"z","yhat","predictors","model","index"
229.672,2.37561344365653,"z","all predictors w/o coordinates","shannon_index"
253.0755,2.49429983212911,"z","all predictors w/o coordinates","shannon_index"
276.479,2.50240969577766,"z","all predictors w/o coordinates","shannon_index"
299.8825,2.50678783642861,"z","all predictors w/o coordinates","shannon_index"
323.286,2.50678783642861,"z","all predictors w/o coordinates","shannon_index"
346.6895,2.50810622000273,"z","all predictors w/o coordinates","shannon_index"
370.093,2.51656077016578,"z","all predictors w/o coordinates","shannon_index"
393.4965,2.51668476483468,"z","all predictors w/o coordinates","shannon_index"
416.9,2.51668476483468,"z","all predictors w/o coordinates","shannon_index"
440.3035,2.51730049502465,"z","all predictors w/o coordinates","shannon_index"
463.707,2.5173041200718,"z","all predictors w/o coordinates","shannon_index"
487.1105,2.5176138859669,"z","all predictors w/o coordinates","shannon_index"
510.514,2.5183675359285,"z","all predictors w/o coordinates","shannon_index"
533.9175,2.51741869084321,"z","all predictors w/o coordinates","shannon_index"
557.321,2.51927306039148,"z","all predictors w/o coordinates","shannon_index"
580.7245,2.52223560634231,"z","all predictors w/o coordinates","shannon_index"
604.128,2.52368261046253,"z","all predictors w/o coordinates","shannon_index"
627.5315,2.52223327030834,"z","all predictors w/o coordinates","shannon_index"
650.935,2.52223327030834,"z","all predictors w/o coordinates","shannon_index"
674.3385,2.52223327030834,"z","all predictors w/o coordinates","shannon_index"
697.742,2.5211776593262,"z","all predictors w/o coordinates","shannon_index"
721.1455,2.5211776593262,"z","all predictors w/o coordinates","shannon_index"
744.549,2.52038813674647,"z","all predictors w/o coordinates","shannon_index"
767.9525,2.52038813674647,"z","all predictors w/o coordinates","shannon_index"
791.356,2.51766395507136,"z","all predictors w/o coordinates","shannon_index"
814.7595,2.51527659635179,"z","all predictors w/o coordinates","shannon_index"
838.163,2.52884370627299,"z","all predictors w/o coordinates","shannon_index"
861.5665,2.52884370627299,"z","all predictors w/o coordinates","shannon_index"
884.97,2.53208301795468,"z","all predictors w/o coordinates","shannon_index"
908.3735,2.53208301795468,"z","all predictors w/o coordinates","shannon_index"
931.777,2.53208301795468,"z","all predictors w/o coordinates","shannon_index"
955.1805,2.53208301795468,"z","all predictors w/o coordinates","shannon_index"
978.584,2.53886968319294,"z","all predictors w/o coordinates","shannon_index"
1001.9875,2.55759306555243,"z","all predictors w/o coordinates","shannon_index"
1025.391,2.55759306555243,"z","all predictors w/o coordinates","shannon_index"
1048.7945,2.55759306555243,"z","all predictors w/o coordinates","shannon_index"
1072.198,2.55759306555243,"z","all predictors w/o coordinates","shannon_index"
1095.6015,2.56301702798931,"z","all predictors w/o coordinates","shannon_index"
1119.005,2.5658229678865,"z","all predictors w/o coordinates","shannon_index"
1142.4085,2.5658229678865,"z","all predictors w/o coordinates","shannon_index"
1165.812,2.56558936197224,"z","all predictors w/o coordinates","shannon_index"
1189.2155,2.56558936197224,"z","all predictors w/o coordinates","shannon_index"
1212.619,2.56558936197224,"z","all predictors w/o coordinates","shannon_index"
1236.0225,2.56558936197224,"z","all predictors w/o coordinates","shannon_index"
1259.426,2.56558936197224,"z","all predictors w/o coordinates","shannon_index"
1282.8295,2.5636265889597,"z","all predictors w/o coordinates","shannon_index"
1306.233,2.5636265889597,"z","all predictors w/o coordinates","shannon_index"
1329.6365,2.5636265889597,"z","all predictors w/o coordinates","shannon_index"
1353.04,2.5636265889597,"z","all predictors w/o coordinates","shannon_index"
1376.4435,2.5636265889597,"z","all predictors w/o coordinates","shannon_index"
1399.847,2.54448298618668,"z","all predictors w/o coordinates","shannon_index"
