"Feature","Gain","index"
"z",0.302819815999711,"k_index"
"dist_w",0.14801693416404,"k_index"
"wd_m",0.109107453467747,"k_index"
"velocity",0.0886780651466355,"k_index"
"moos_cover",0.0853384031861789,"k_index"
"froude",0.0753682879178818,"k_index"
"alg_cover",0.0523355211386381,"k_index"
"clog_3_class_int",0.0455384368554531,"k_index"
"stream_power",0.0434392169424991,"k_index"
"clog_6_class_int",0.0287452170271837,"k_index"
"cat_velocity",0.00856551327261943,"k_index"
"sub_type_int",0.00812089252486176,"k_index"
"cpom_cover",0.00392624235655121,"k_index"
"z",0.390149696937675,"shannon_index"
"velocity",0.167736043043233,"shannon_index"
"froude",0.0988817932739245,"shannon_index"
"dist_w",0.0838883488909867,"shannon_index"
"wd_m",0.0742249617697985,"shannon_index"
"moos_cover",0.0711051904020818,"shannon_index"
"stream_power",0.0403946531027559,"shannon_index"
"alg_cover",0.0309676218146052,"shannon_index"
"clog_6_class_int",0.0188359555140149,"shannon_index"
"clog_3_class_int",0.01418443253039,"shannon_index"
"sub_type_int",0.00641344861491112,"shannon_index"
"cat_velocity",0.00183732319582438,"shannon_index"
"cpom_cover",0.00138053090979882,"shannon_index"
"z",0.289503078623307,"abundance"
"wd_m",0.184997122316667,"abundance"
"dist_w",0.132700526169986,"abundance"
"alg_cover",0.0761639900827855,"abundance"
"froude",0.0745595246260307,"abundance"
"cpom_cover",0.0612090275076917,"abundance"
"velocity",0.0601465182976918,"abundance"
"clog_3_class_int",0.0390796399013139,"abundance"
"stream_power",0.0388005628244482,"abundance"
"moos_cover",0.0177772373542252,"abundance"
"clog_6_class_int",0.0135505663395126,"abundance"
"sub_type_int",0.00864682702340684,"abundance"
"cat_velocity",0.00286537893293444,"abundance"
"z",0.229165146291343,"rel_abundance"
"wd_m",0.221218227086042,"rel_abundance"
"dist_w",0.160505734943643,"rel_abundance"
"velocity",0.10582215208598,"rel_abundance"
"cpom_cover",0.0839278585833681,"rel_abundance"
"froude",0.0782291835106716,"rel_abundance"
"alg_cover",0.0398079826670531,"rel_abundance"
"clog_6_class_int",0.019701890297951,"rel_abundance"
"clog_3_class_int",0.0176897130467635,"rel_abundance"
"stream_power",0.0174377732281225,"rel_abundance"
"moos_cover",0.0146483338088168,"rel_abundance"
"sub_type_int",0.00755897707788136,"rel_abundance"
"cat_velocity",0.0042870273723653,"rel_abundance"
