"Feature","Gain","index","model"
"dist_w",0.202023515399469,"k_index","xgboost w/ coordinates"
"z",0.0918798108180739,"k_index","xgboost w/ coordinates"
"y",0.0855002768624059,"k_index","xgboost w/ coordinates"
"x",0.0817118564976775,"k_index","xgboost w/ coordinates"
"velocity",0.0735712815197241,"k_index","xgboost w/ coordinates"
"wd_m",0.0719558613047176,"k_index","xgboost w/ coordinates"
"moos_cover",0.0616536383607784,"k_index","xgboost w/ coordinates"
"alg_cover",0.0527923069803127,"k_index","xgboost w/ coordinates"
"conduct_during",0.0409382092341069,"k_index","xgboost w/ coordinates"
"ox_after",0.0333899299732192,"k_index","xgboost w/ coordinates"
"pH_before",0.0247856495751931,"k_index","xgboost w/ coordinates"
"temp_during",0.0231714740779703,"k_index","xgboost w/ coordinates"
"turb_before",0.0203636991441277,"k_index","xgboost w/ coordinates"
"ox_during",0.01609788593307,"k_index","xgboost w/ coordinates"
"conduct_before",0.0133149662479684,"k_index","xgboost w/ coordinates"
"ox_before",0.0130441283959306,"k_index","xgboost w/ coordinates"
"temp_before",0.0126468991738281,"k_index","xgboost w/ coordinates"
"turb_after",0.0124100251337021,"k_index","xgboost w/ coordinates"
"clog_3_class_int",0.0105670305070378,"k_index","xgboost w/ coordinates"
"pH_during",0.00997107102909892,"k_index","xgboost w/ coordinates"
"gaug_before",0.00934629868088426,"k_index","xgboost w/ coordinates"
"sub_type_int",0.0070855772129601,"k_index","xgboost w/ coordinates"
"turb_during",0.0060976835915334,"k_index","xgboost w/ coordinates"
"temp_after",0.00495991823930174,"k_index","xgboost w/ coordinates"
"q_during",0.00485747986518611,"k_index","xgboost w/ coordinates"
"conduct_after",0.00317351162281054,"k_index","xgboost w/ coordinates"
"q_before",0.00275396016383015,"k_index","xgboost w/ coordinates"
"q_after",0.00272900044371321,"k_index","xgboost w/ coordinates"
"cat_velocity",0.00269649224768337,"k_index","xgboost w/ coordinates"
"cpom_cover",0.00241283262926584,"k_index","xgboost w/ coordinates"
"pH_after",0.00192361035496046,"k_index","xgboost w/ coordinates"
"clog_6_class_int",0.000174118779458622,"k_index","xgboost w/ coordinates"
"z",0.317809780089385,"shannon_index","xgboost w/ coordinates"
"velocity",0.122611222555578,"shannon_index","xgboost w/ coordinates"
"dist_w",0.0930912796343157,"shannon_index","xgboost w/ coordinates"
"moos_cover",0.0905607053166909,"shannon_index","xgboost w/ coordinates"
"wd_m",0.0832263461122877,"shannon_index","xgboost w/ coordinates"
"y",0.0726594999927461,"shannon_index","xgboost w/ coordinates"
"x",0.0657122300417646,"shannon_index","xgboost w/ coordinates"
"conduct_before",0.0257748583356108,"shannon_index","xgboost w/ coordinates"
"cat_velocity",0.0247092656576169,"shannon_index","xgboost w/ coordinates"
"clog_6_class_int",0.0188427289124043,"shannon_index","xgboost w/ coordinates"
"gaug_before",0.0172962873236701,"shannon_index","xgboost w/ coordinates"
"clog_3_class_int",0.0108850746635496,"shannon_index","xgboost w/ coordinates"
"pH_before",0.010538832832547,"shannon_index","xgboost w/ coordinates"
"ox_during",0.00859435963269779,"shannon_index","xgboost w/ coordinates"
"alg_cover",0.00633313347547097,"shannon_index","xgboost w/ coordinates"
"turb_after",0.0048169839776568,"shannon_index","xgboost w/ coordinates"
"ox_before",0.00471458599027336,"shannon_index","xgboost w/ coordinates"
"sub_type_int",0.00446092145550733,"shannon_index","xgboost w/ coordinates"
"ox_after",0.00225784736337492,"shannon_index","xgboost w/ coordinates"
"temp_before",0.00217334362272634,"shannon_index","xgboost w/ coordinates"
"q_during",0.00199164980114003,"shannon_index","xgboost w/ coordinates"
"turb_before",0.0019672710921113,"shannon_index","xgboost w/ coordinates"
"pH_after",0.00191991772783868,"shannon_index","xgboost w/ coordinates"
"temp_during",0.00191897715959798,"shannon_index","xgboost w/ coordinates"
"cpom_cover",0.00177332032436877,"shannon_index","xgboost w/ coordinates"
"temp_after",0.00155710224889964,"shannon_index","xgboost w/ coordinates"
"pH_during",0.000921655784018552,"shannon_index","xgboost w/ coordinates"
"q_before",0.00073589478810541,"shannon_index","xgboost w/ coordinates"
"q_after",0.000140841435713925,"shannon_index","xgboost w/ coordinates"
"turb_during",2.70481762941102e-06,"shannon_index","xgboost w/ coordinates"
"conduct_after",1.13355096878622e-06,"shannon_index","xgboost w/ coordinates"
"gaug_during",1.65538850518692e-07,"shannon_index","xgboost w/ coordinates"
"conduct_during",7.87448824200305e-08,"shannon_index","xgboost w/ coordinates"
"wd_m",0.148783349579218,"abundance","xgboost w/ coordinates"
"dist_w",0.121245546089833,"abundance","xgboost w/ coordinates"
"velocity",0.107579312547447,"abundance","xgboost w/ coordinates"
"z",0.103815271309501,"abundance","xgboost w/ coordinates"
"ox_before",0.0920255112076397,"abundance","xgboost w/ coordinates"
"q_before",0.0746577164774191,"abundance","xgboost w/ coordinates"
"x",0.0710342450338113,"abundance","xgboost w/ coordinates"
"turb_before",0.0560062452202208,"abundance","xgboost w/ coordinates"
"y",0.0367934688437911,"abundance","xgboost w/ coordinates"
"alg_cover",0.0335411692634727,"abundance","xgboost w/ coordinates"
"cpom_cover",0.0319007563320022,"abundance","xgboost w/ coordinates"
"moos_cover",0.0178486967171894,"abundance","xgboost w/ coordinates"
"clog_3_class_int",0.0158154277789974,"abundance","xgboost w/ coordinates"
"sub_type_int",0.0109707031072555,"abundance","xgboost w/ coordinates"
"clog_6_class_int",0.010686553637714,"abundance","xgboost w/ coordinates"
"q_during",0.0102969551537532,"abundance","xgboost w/ coordinates"
"temp_before",0.00802251602874017,"abundance","xgboost w/ coordinates"
"pH_during",0.00720373505166304,"abundance","xgboost w/ coordinates"
"turb_after",0.00709850788310806,"abundance","xgboost w/ coordinates"
"temp_after",0.00702818996701976,"abundance","xgboost w/ coordinates"
"gaug_before",0.00666124194580204,"abundance","xgboost w/ coordinates"
"pH_before",0.00433015370546404,"abundance","xgboost w/ coordinates"
"pH_after",0.00432101597749845,"abundance","xgboost w/ coordinates"
"conduct_before",0.00397355840525931,"abundance","xgboost w/ coordinates"
"ox_after",0.00271306090169427,"abundance","xgboost w/ coordinates"
"q_after",0.0020806291608112,"abundance","xgboost w/ coordinates"
"cat_velocity",0.0011674125266748,"abundance","xgboost w/ coordinates"
"ox_during",0.000897988656785622,"abundance","xgboost w/ coordinates"
"turb_during",0.000735959208973236,"abundance","xgboost w/ coordinates"
"conduct_after",0.000727508558286148,"abundance","xgboost w/ coordinates"
"temp_during",1.98604426565289e-05,"abundance","xgboost w/ coordinates"
"gaug_during",1.39559529070053e-05,"abundance","xgboost w/ coordinates"
"conduct_during",3.77732739086892e-06,"abundance","xgboost w/ coordinates"
"dist_w",0.17569029842925,"rel_abundance","xgboost w/ coordinates"
"x",0.168457523700921,"rel_abundance","xgboost w/ coordinates"
"wd_m",0.12918549457011,"rel_abundance","xgboost w/ coordinates"
"cpom_cover",0.0962522266579493,"rel_abundance","xgboost w/ coordinates"
"velocity",0.0693360525584515,"rel_abundance","xgboost w/ coordinates"
"y",0.0554163676138309,"rel_abundance","xgboost w/ coordinates"
"ox_before",0.0414780262223094,"rel_abundance","xgboost w/ coordinates"
"alg_cover",0.0376588702586659,"rel_abundance","xgboost w/ coordinates"
"temp_after",0.0368587099535585,"rel_abundance","xgboost w/ coordinates"
"ox_after",0.0337812755087846,"rel_abundance","xgboost w/ coordinates"
"temp_before",0.0278107300307389,"rel_abundance","xgboost w/ coordinates"
"turb_before",0.0176553922057174,"rel_abundance","xgboost w/ coordinates"
"z",0.0161927410429258,"rel_abundance","xgboost w/ coordinates"
"pH_before",0.0152626907575422,"rel_abundance","xgboost w/ coordinates"
"q_during",0.0122264503755929,"rel_abundance","xgboost w/ coordinates"
"gaug_during",0.0112824020453329,"rel_abundance","xgboost w/ coordinates"
"conduct_before",0.0108316896947664,"rel_abundance","xgboost w/ coordinates"
"q_before",0.0104353865091982,"rel_abundance","xgboost w/ coordinates"
"sub_type_int",0.00831251694958427,"rel_abundance","xgboost w/ coordinates"
"pH_during",0.00815959118200214,"rel_abundance","xgboost w/ coordinates"
"conduct_after",0.00529829531451116,"rel_abundance","xgboost w/ coordinates"
"gaug_before",0.00423891923864781,"rel_abundance","xgboost w/ coordinates"
"cat_velocity",0.00389561135345238,"rel_abundance","xgboost w/ coordinates"
"moos_cover",0.00273953114810792,"rel_abundance","xgboost w/ coordinates"
"pH_after",0.000458076704632801,"rel_abundance","xgboost w/ coordinates"
"conduct_during",0.000195814362505252,"rel_abundance","xgboost w/ coordinates"
"temp_during",0.000189022695875697,"rel_abundance","xgboost w/ coordinates"
"clog_3_class_int",0.000177216105483164,"rel_abundance","xgboost w/ coordinates"
"clog_6_class_int",0.000159130093363496,"rel_abundance","xgboost w/ coordinates"
"ox_during",0.000125481701056344,"rel_abundance","xgboost w/ coordinates"
"turb_after",0.000122713064976773,"rel_abundance","xgboost w/ coordinates"
"q_after",0.000100973613907158,"rel_abundance","xgboost w/ coordinates"
"turb_during",1.47783362485019e-05,"rel_abundance","xgboost w/ coordinates"
