"Feature","Gain","index","model"
"dist_w",0.160687567701037,"k_index","xgboost w/ coordinates"
"y",0.147400927129077,"k_index","xgboost w/ coordinates"
"x",0.134876518998279,"k_index","xgboost w/ coordinates"
"moos_cover",0.104821141837977,"k_index","xgboost w/ coordinates"
"ox_during",0.0898172980645525,"k_index","xgboost w/ coordinates"
"velocity",0.0547650864868406,"k_index","xgboost w/ coordinates"
"z",0.0510405748159201,"k_index","xgboost w/ coordinates"
"wd_m",0.0468656752074828,"k_index","xgboost w/ coordinates"
"froude",0.0435757282646078,"k_index","xgboost w/ coordinates"
"pH_before",0.0350043844736119,"k_index","xgboost w/ coordinates"
"alg_cover",0.0325835787717405,"k_index","xgboost w/ coordinates"
"conduct_before",0.0254828526327222,"k_index","xgboost w/ coordinates"
"pH_during",0.0175016638798859,"k_index","xgboost w/ coordinates"
"clog_3_class_int",0.0114926635745395,"k_index","xgboost w/ coordinates"
"stream_power",0.0106927400362888,"k_index","xgboost w/ coordinates"
"q_after",0.00924749431930964,"k_index","xgboost w/ coordinates"
"ox_before",0.00532487384631502,"k_index","xgboost w/ coordinates"
"cpom_cover",0.00288610351812434,"k_index","xgboost w/ coordinates"
"temp_during",0.00271758123045814,"k_index","xgboost w/ coordinates"
"clog_6_class_int",0.00271716163846169,"k_index","xgboost w/ coordinates"
"gaug_before",0.00170540331209062,"k_index","xgboost w/ coordinates"
"turb_before",0.00140015983268045,"k_index","xgboost w/ coordinates"
"ox_after",0.00133494593126277,"k_index","xgboost w/ coordinates"
"conduct_after",0.001302261948963,"k_index","xgboost w/ coordinates"
"temp_before",0.00108677494273664,"k_index","xgboost w/ coordinates"
"q_before",0.000884790929911266,"k_index","xgboost w/ coordinates"
"temp_after",0.000785839339961674,"k_index","xgboost w/ coordinates"
"q_during",0.000523932421869179,"k_index","xgboost w/ coordinates"
"conduct_during",0.000492765256043386,"k_index","xgboost w/ coordinates"
"turb_after",0.000461839466099103,"k_index","xgboost w/ coordinates"
"sub_type_int",0.000381572118701413,"k_index","xgboost w/ coordinates"
"cat_velocity",0.000117929058929962,"k_index","xgboost w/ coordinates"
"pH_after",1.78997402471162e-05,"k_index","xgboost w/ coordinates"
"turb_during",2.26927327249186e-06,"k_index","xgboost w/ coordinates"
"moos_cover",0.176577991523324,"shannon_index","xgboost w/ coordinates"
"dist_w",0.156675855664921,"shannon_index","xgboost w/ coordinates"
"x",0.117026948890585,"shannon_index","xgboost w/ coordinates"
"z",0.0648074536982094,"shannon_index","xgboost w/ coordinates"
"velocity",0.0591770421397961,"shannon_index","xgboost w/ coordinates"
"stream_power",0.0544328742048583,"shannon_index","xgboost w/ coordinates"
"y",0.0525218105719066,"shannon_index","xgboost w/ coordinates"
"froude",0.050746805041485,"shannon_index","xgboost w/ coordinates"
"temp_after",0.0405957636605027,"shannon_index","xgboost w/ coordinates"
"wd_m",0.0392245456687746,"shannon_index","xgboost w/ coordinates"
"ox_before",0.0315277207053205,"shannon_index","xgboost w/ coordinates"
"q_after",0.0314179958581581,"shannon_index","xgboost w/ coordinates"
"conduct_before",0.0259860179577165,"shannon_index","xgboost w/ coordinates"
"sub_type_int",0.0152490066521648,"shannon_index","xgboost w/ coordinates"
"pH_before",0.0138022692328847,"shannon_index","xgboost w/ coordinates"
"alg_cover",0.0121621473645595,"shannon_index","xgboost w/ coordinates"
"gaug_before",0.0103273458757958,"shannon_index","xgboost w/ coordinates"
"temp_before",0.00737438354333468,"shannon_index","xgboost w/ coordinates"
"q_before",0.00630835571859352,"shannon_index","xgboost w/ coordinates"
"turb_before",0.00564982901572593,"shannon_index","xgboost w/ coordinates"
"clog_3_class_int",0.00453570823447899,"shannon_index","xgboost w/ coordinates"
"temp_during",0.0044578238075282,"shannon_index","xgboost w/ coordinates"
"pH_during",0.00429400232504384,"shannon_index","xgboost w/ coordinates"
"q_during",0.00392176507299951,"shannon_index","xgboost w/ coordinates"
"turb_during",0.00297808385353844,"shannon_index","xgboost w/ coordinates"
"cat_velocity",0.00222758512740747,"shannon_index","xgboost w/ coordinates"
"ox_after",0.00219843555376577,"shannon_index","xgboost w/ coordinates"
"conduct_after",0.00155060381243224,"shannon_index","xgboost w/ coordinates"
