"Feature","Gain","index","model"
"y",0.362165273016513,"k_index","xgboost w/ coordinates"
"x",0.331341209966167,"k_index","xgboost w/ coordinates"
"velocity",0.166068421716096,"k_index","xgboost w/ coordinates"
"wd_m",0.140425095301224,"k_index","xgboost w/ coordinates"
"y",0.377355402637165,"shannon_index","xgboost w/ coordinates"
"x",0.342335348708968,"shannon_index","xgboost w/ coordinates"
"velocity",0.150959576843826,"shannon_index","xgboost w/ coordinates"
"wd_m",0.129349671810041,"shannon_index","xgboost w/ coordinates"
"x",0.32820536987178,"abundance","xgboost w/ coordinates"
"y",0.314308797959677,"abundance","xgboost w/ coordinates"
"wd_m",0.221016114760676,"abundance","xgboost w/ coordinates"
"velocity",0.136469717407867,"abundance","xgboost w/ coordinates"
"x",0.38967107558828,"rel_abundance","xgboost w/ coordinates"
"y",0.229970915913507,"rel_abundance","xgboost w/ coordinates"
"wd_m",0.213925404347902,"rel_abundance","xgboost w/ coordinates"
"velocity",0.16643260415031,"rel_abundance","xgboost w/ coordinates"
