"Feature","Gain","Cover","Frequency","model","index"
"Number_Taxa",0.745968424601573,0.088593391211804,0.0910248249522597,"model w/ coordinates","k_index"
"EPT_Taxa",0.0539856707403767,0.0561394173207397,0.0496499045194144,"model w/ coordinates","k_index"
"alg_cover",0.044267557556707,0.0141129382096234,0.024506683640993,"model w/ coordinates","k_index"
"z",0.0306662170442463,0.0797670208397198,0.0712921705919796,"model w/ coordinates","k_index"
"moos_cover",0.0274879081284421,0.00790671579203082,0.00445576066199873,"model w/ coordinates","k_index"
"x",0.0214520655665764,0.104915814009983,0.0951623169955442,"model w/ coordinates","k_index"
"y",0.0171288421866417,0.116009508881318,0.0989815404201146,"model w/ coordinates","k_index"
"velocity",0.0127302914937307,0.113134865319768,0.11839592616168,"model w/ coordinates","k_index"
"dist_w",0.00921148586081275,0.110508933374207,0.167091024824952,"model w/ coordinates","k_index"
"wd_m",0.00692563400850316,0.102781521305331,0.11075747931254,"model w/ coordinates","k_index"
"conduct_before",0.00539386198579343,0.0115911181033136,0.0136855506047104,"model w/ coordinates","k_index"
"pH_before",0.00415562653242497,0.0107813593535812,0.011457670273711,"model w/ coordinates","k_index"
"temp_before",0.00248356174494255,0.0225286452157718,0.0140038192234246,"model w/ coordinates","k_index"
"ox_before",0.00248058084416942,0.0147433932362008,0.0101845957988542,"model w/ coordinates","k_index"
"ox_during",0.0019502691037999,0.00761173224748541,0.0060471037555697,"model w/ coordinates","k_index"
"gaug_before",0.00189602197081475,0.0105384317286614,0.00827498408656906,"model w/ coordinates","k_index"
"temp_after",0.00131804126571885,0.00709695704229833,0.00477402928071292,"model w/ coordinates","k_index"
"cat_velocity",0.00130785058045011,0.00898832212203064,0.0111394016549968,"model w/ coordinates","k_index"
"clog_6_class_int",0.00122048481640113,0.0106656795321908,0.00572883513685551,"model w/ coordinates","k_index"
"turb_during",0.00114210998129232,0.00513040007866228,0.00445576066199873,"model w/ coordinates","k_index"
"clog_3_class_int",0.000993112788018261,0.00531548779288685,0.00541056651814131,"model w/ coordinates","k_index"
"pH_after",0.000946912257177657,0.00458670491812761,0.0060471037555697,"model w/ coordinates","k_index"
"q_during",0.000883773507779697,0.00695235726556038,0.00350095480585614,"model w/ coordinates","k_index"
"temp_during",0.000631575539676797,0.00540803164999913,0.00445576066199873,"model w/ coordinates","k_index"
"conduct_after",0.000588239727295655,0.0071547969529935,0.00509229789942712,"model w/ coordinates","k_index"
"pH_during",0.000581706259205159,0.013170147665292,0.0108211330362826,"model w/ coordinates","k_index"
"ox_after",0.000548288642154451,0.0141245061917624,0.00795671546785487,"model w/ coordinates","k_index"
"sub_type_int",0.000466127731386607,0.00762908422069396,0.0101845957988542,"model w/ coordinates","k_index"
"turb_before",0.000453820507447034,0.00802817960449069,0.00668364099299809,"model w/ coordinates","k_index"
"q_before",0.000325247407206027,0.00606162264085464,0.00668364099299809,"model w/ coordinates","k_index"
"q_after",0.00011334746283708,0.00378273015946463,0.00286441756842775,"model w/ coordinates","k_index"
"conduct_during",8.96192446398855e-05,0.0039331139272721,0.00254614894971356,"model w/ coordinates","k_index"
"turb_after",8.50201072315722e-05,0.00369597029342187,0.00254614894971356,"model w/ coordinates","k_index"
