"reach","velocity","wd_m","x","y","shannon","abundance","k_index"
"M1",0.11,0.19,2734822.966,1129308.228,3.12866281099763,270,0.548595315065383
"M1",0.24,0.36,2734821.586,1129307.857,2.40108867605983,759,0.536305725523922
"M1",0.14,0.43,2734820.122,1129307.498,2.52805176774117,696,0.529841186003194
"M1",0.1,0.09,2734822.048,1129324.876,1.86170695825142,612,0.478223450567199
"M1",0.41,0.35,2734820.51,1129325.085,2.32227866111325,2102,0.642039953810491
"M1",0.51,0.49,2734819.422,1129325.414,2.47285457084079,1499,0.618337224111307
"M1",0.01,0.08,2734842.711,1129346.278,3.31781787260065,662,0.635698751041965
"M1",0.27,0.15,2734840.93,1129348.219,2.71861047230095,1793,0.663591212521352
"M1",0.37,0.2,2734839.109,1129349.478,2.52216235756298,2605,0.689215457880062
"M1",0.01,0.1,2734848.046,1129348.978,3.3321482732456,917,0.677060829073316
"M1",0.14,0.23,2734847.009,1129353.065,2.64438846934527,724,0.625604147841119
"M1",0.1,0.28,2734844.813,1129356.052,2.11384798169998,2553,0.633530533216393
"MR",0.05,0.16,2736794.555,1133743.459,2.59827785539175,3546,0.675299818853974
"MR",0.44,0.26,2736795.293,1133744.09,2.76100295880734,1804,0.696287571376422
"MR",0.47,0.36,2736797.722,1133745.435,2.58074304223555,1686,0.660383063100802
"MR",0.01,0.09,2736788.393,1133751.648,3.04390560194374,1086,0.592370740056102
"MR",0.41,0.55,2736790.236,1133752.518,2.61366612605309,502,0.511740715286843
"MR",0.2,0.42,2736791.653,1133753.578,3.20014801298016,688,0.641910163081161
"MR",0.14,0.12,2736779.218,1133768.546,2.72841243590107,1163,0.590420154752674
"MR",0.35,0.53,2736779.933,1133771.329,2.88769015661656,1342,0.679631758901411
"MR",0.47,0.48,2736780.461,1133773.393,2.3240575613459,1900,0.569427098874012
"MR",0.14,0.19,2736773.965,1133778.269,2.87840653246949,562,0.552439492170258
"MR",0.2,0.33,2736774.94,1133778.542,2.24916390359998,1205,0.565662359630713
"MR",0.64,0.43,2736775.968,1133779.517,2.58451231492964,1354,0.628158211060982
"M5",0.01,0.12,2729452.93,1122044.578,2.79582563008457,614,0.54763332493868
"M5",0.34,0.41,2729453.503,1122039.653,2.44156255501334,641,0.478463312865771
"M5",0.64,0.62,2729455.95,1122037.351,2.327339536918,844,0.552508710298448
"M5",0.05,0.11,2729467.877,1122058.298,3.05611246398916,283,0.587093792644375
"M5",0.6,0.34,2729468.705,1122057.207,2.99092738654772,952,0.628575328296506
"M5",1.29,0.53,2729472.058,1122054.897,2.08994562518507,1355,0.552437426874917
"M5",0.05,0.09,2729479.749,1122070.971,3.07301874061224,606,0.601809069820381
"M5",0.91,0.53,2729481.799,1122069.723,2.1847314228016,1133,0.592840787117973
"M5",0.76,0.67,2729484.994,1122068.342,2.178467918253,347,0.427392295839597
"M5",0.05,0.08,2729487.626,1122082.041,2.88048878472793,1006,0.573668067235687
"M5",0.51,0.45,2729491.481,1122079.902,2.03018251663409,1101,0.536995725373291
"M5",0.45,0.49,2729492.519,1122078.492,2.54156457269703,706,0.564897336551064
"M7",0.05,0.21,2724226.173,1120092.836,2.57213603633827,1083,0.624860902806842
"M7",0.14,0.43,2724223.029,1120099.14,1.99269228370211,855,0.484387334077062
"M7",0.27,0.44,2724220.552,1120103.389,1.33985218288372,879,0.402727417417249
"M7",0.01,0.15,2724246.208,1120103.432,2.92921923280618,1119,0.623720788950682
