nse;r2;bias;rmse;mae;index;model;predictor;origin;rel_rmse;rel_mae;rel_bias
-0.31;0.03;0.021335813;0.138558137;0.112180668;k_index;brt;v;measured;0.16;0.13;0.02
-0.04;NA;-0.10694575;0.531173466;0.407406209;shannon;brt;v;measured;0.13;0.1;-0.03
-0.36;NA;425.2605794;826.8446872;708.64269;abundance;brt;v;measured;0.21;0.18;0.11
-0.73;NA;0.154795628;0.237979126;0.214681987;rel_abundance;brt;v;measured;0.24;0.21;0.15
-0.2;0;0.012869919;0.132293579;0.110200483;k_index;brt;v + wd;measured;0.15;0.12;0.01
-1.16;0.02;0.036889613;0.764271165;0.632550982;shannon;brt;v + wd;measured;0.19;0.16;0.01
-0.21;0;-152.7782706;781.1190388;516.2909523;abundance;brt;v + wd;measured;0.2;0.13;-0.04
-0.29;0;0.043851702;0.205539832;0.157754536;rel_abundance;brt;v + wd;measured;0.21;0.16;0.04
0.31;0.41;-0.000877888;0.100479138;0.084280083;k_index;brt;samp;measured;0.11;0.1;0
-0.13;0.08;0.180307187;0.552083116;0.434691222;shannon;brt;samp;measured;0.14;0.11;0.04
-0.06;0.18;-335.9841915;729.3887088;424.7260503;abundance;brt;samp;measured;0.19;0.11;-0.09
0.15;0.18;-0.00228554;0.166574185;0.112916775;rel_abundance;brt;samp;measured;0.17;0.11;0
-0.05;0.26;0.046049925;0.124843004;0.104930045;k_index;brt;all;measured;0.14;0.12;0.05
-0.22;0.12;0.250842394;0.586230908;0.485632655;shannon;brt;all;measured;0.15;0.12;0.06
-0.02;0.13;-167.4254338;670.8744499;477.8227296;abundance;brt;all;measured;0.17;0.12;-0.04
0.18;0.21;-0.026929283;0.152787182;0.099797301;rel_abundance;brt;all;measured;0.15;0.1;-0.03
0.12;0.32;0.045872592;0.114463669;0.093486377;k_index;brt;var;measured;0.13;0.11;0.05
-1.53;0.1;0.131818558;0.844462015;0.702307316;shannon;brt;var;measured;0.21;0.17;0.03
0.07;0.13;-164.0241381;638.6120174;368.4878393;abundance;brt;var;measured;0.16;0.09;-0.04
-0.17;0.02;-0.037846301;0.182973659;0.119607826;rel_abundance;brt;var;measured;0.18;0.12;-0.04
-1.07;0.07;-0.028414682;0.147104023;0.113556555;k_index;brt;v;raster_extract;0.17;0.13;-0.03
-1.08;0.03;-0.154800435;0.651154793;0.499145133;shannon;brt;v;raster_extract;0.16;0.12;-0.04
-0.44;0;53.51575127;791.6174959;566.2498184;abundance;brt;v;raster_extract;0.2;0.14;0.01
-0.17;0.01;-0.034049736;0.180164379;0.135978981;rel_abundance;brt;v;raster_extract;0.18;0.14;-0.03
-0.22;0;-0.013136002;0.127851364;0.107881471;k_index;brt;v + wd;raster_extract;0.14;0.12;-0.01
-1.11;0.01;-0.084040364;0.739785399;0.595765738;shannon;brt;v + wd;raster_extract;0.18;0.15;-0.02
-0.14;0.02;245.9580372;789.7729491;498.1093571;abundance;brt;v + wd;raster_extract;0.2;0.13;0.06
-0.2;0.01;-0.029967429;0.198881132;0.152912187;rel_abundance;brt;v + wd;raster_extract;0.2;0.15;-0.03
