nse;bias;mae;rmse;r2;index;predictor;model
-0.12277916;0.012985283;0.111066435;0.13501318;0.010563712;k_index;v;autotuner
-0.62012426;0.085864095;0.141866071;0.162182189;0.074833952;k_index;v;xgb
-0.061790407;0.011478292;0.10835161;0.131295063;0.012439234;k_index;v;xgb w/o coord
-0.02017429;0.068751805;0.414353263;0.519714801;0.045480835;shannon;v;autotuner
-1.372764708;0.195825651;0.638303777;0.79260213;0.022198089;shannon;v;xgb
-0.077221802;-0.142987431;0.412797243;0.534048212;NA;shannon;v;xgb w/o coord
-0.450059306;-21.37944948;584.6103248;891.2427044;0.000551813;abundance;v;autotuner
-0.175177045;369.165911;656.5571681;802.3331848;0.081710189;abundance;v;xgb
-0.383600987;458.3982631;754.8422968;870.5797017;NA;abundance;v;xgb w/o coord
-0.334882196;-0.004230532;0.144151944;0.218531843;5.50E-06;rel_abundance;v;autotuner
-0.064733638;0.081979433;0.15793801;0.195170307;0.123348577;rel_abundance;v;xgb
-0.399424918;0.119539335;0.194614722;0.223752584;NA;rel_abundance;v;xgb w/o coord
-0.37600179;0.019574978;0.123388725;0.149464652;0.004577983;k_index;v + wd;autotuner
-0.673120933;0.08743874;0.145459575;0.164813455;0.098566308;k_index;v + wd;xgb
-0.435989141;0.016691482;0.127198857;0.152687883;0.001221196;k_index;v + wd;xgb w/o coord
-1.040410342;0.047588408;0.568757357;0.734998844;0.023318633;shannon;v + wd;autotuner
-1.032494608;0.156665536;0.585215091;0.733571751;0.041316316;shannon;v + wd;xgb
-0.805982276;0.015455246;0.537938643;0.691487987;0.007463309;shannon;v + wd;xgb w/o coord
-0.722515355;61.14207189;704.6575764;971.3699327;0.002140165;abundance;v + wd;autotuner
-0.568962864;466.9126587;775.4469212;927.063404;0.004987832;abundance;v + wd;xgb
-0.626492375;104.0645459;692.4828323;943.9068139;0.003585778;abundance;v + wd;xgb w/o coord
-0.648567538;0.027536734;0.173639799;0.242854765;4.20E-05;rel_abundance;v + wd;autotuner
0.093523239;0.054720397;0.139964642;0.180082535;0.177224948;rel_abundance;v + wd;xgb
-0.75365194;0.022617663;0.178292897;0.25047533;0.001547805;rel_abundance;v + wd;xgb w/o coord
0.118105105;0.002147469;0.098343817;0.119656807;0.168415765;k_index;samp;autotuner
-0.205970847;0.055062316;0.123423744;0.139925672;0.193023113;k_index;samp;xgb
0.371651332;0.003015087;0.085783016;0.101001854;0.383196339;k_index;samp;xgb w/o coord
-0.159243553;0.145241509;0.441770454;0.554006988;0.04812269;shannon;samp;autotuner
-0.389903985;0.16520722;0.492351933;0.606624991;0.064309363;shannon;samp;xgb
0.004479015;0.126868621;0.404662844;0.513396741;0.119770727;shannon;samp;xgb w/o coord
0.016846623;-8.582983182;486.5038903;733.8608896;0.128920598;abundance;samp;autotuner
0.092956712;33.13172922;471.6449533;704.883123;0.132415558;abundance;samp;xgb
-0.081464517;-12.177551;486.3920151;769.6783007;0.085509924;abundance;samp;xgb w/o coord
-0.244254838;0.001262446;0.135930331;0.210983225;0.114997586;rel_abundance;samp;autotuner
0.078893102;0.020090536;0.128889143;0.181529944;0.161769372;rel_abundance;samp;xgb
-0.084134503;0.029430284;0.147574825;0.196940411;0.128175333;rel_abundance;samp;xgb w/o coord
0.905632552;0.001254245;0.031820798;0.039141738;0.911826689;k_index;all;autotuner
0.886694078;0.005715154;0.034709089;0.042889926;0.890060928;k_index;all;xgb
0.874379194;0.00548825;0.037492728;0.045160608;0.87839509;k_index;all;xgb w/o coord
-0.257579683;0.163564447;0.481057902;0.577026361;0.138198008;shannon;all;autotuner
-0.051729955;0.128989374;0.434867162;0.527691404;0.11584065;shannon;all;xgb
-1.285026919;0.213615856;0.628765553;0.777810064;0.031249322;shannon;all;xgb w/o coord
0.368007875;-57.61813954;398.5814373;588.3814049;0.389655148;abundance;all;autotuner
0.406983984;-54.08784875;378.7553621;569.9494212;0.412399358;abundance;all;xgb
0.319450607;-28.46395288;411.385192;610.566442;0.33387824;abundance;all;xgb w/o coord
0.27072299;-0.025083003;0.107132564;0.161524914;0.323346477;rel_abundance;all;autotuner
0.135255777;-0.021411677;0.113891601;0.175888357;0.216143686;rel_abundance;all;xgb
0.341442818;-0.013261659;0.102215615;0.153493505;0.365623353;rel_abundance;all;xgb w/o coord
